"model","SFE_M_1S","SFE_M_2","SFE_M_3","SFE_M_4","SFE_SH_1S"
"null",0.307767650722867,0.272745533160076,0.29440983519302,0.343105869248696,0.319905302417024
"physical",0.27203373239436,0.36363097878514,0.321139107207004,0.331426597619432,0.312338359868793
"chemical",0.252390027408483,0.437545952701431,0.291830350708937,0.322013334356408,0.286716133802774
"biological",0.254890575766512,0.439969167144452,0.292852520427252,0.326556142485183,0.288732718365508
