"model","SFE_M_1S","SFE_M_2","SFE_M_3","SFE_M_4","SFE_SH_1S"
"null",0.438165367137298,0.325895548858652,0.544203980985805,0.275587391289046,0.340915109540824
"physical",0.186181919299157,0.215925663100493,0.233505033557726,0.326516110932294,0.26593813924643
"chemical",0.175811233179524,0.254347412641435,0.144427585936762,0.319530485021937,0.256454507309724
"biological",0.190129629709364,0.213442951604487,0.14071419431225,0.33353675898913,0.24937032133276
