"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.279871236788209,0.279871236788209,0.279871236788209
"SFE-M-2","null",0.341673607262552,0.341673607262552,0.341673607262552
"SFE-M-3","null",0.334311676405563,0.334311676405563,0.334311676405563
"SFE-M-4","null",0.294286621906405,0.294286621906405,0.294286621906405
"SFE-SH-1S","null",0.40348182715358,0.40348182715358,0.40348182715358
"SFE-M-1S","w_cover",11.4780802462564,0.723091873279007,27.8145971406646
"SFE-M-2","w_cover",9.53924326511936,0.56180373959434,24.3423406988832
"SFE-M-3","w_cover",12.6360943725694,0.784168203880315,31.091627483899
"SFE-M-4","w_cover",9.2721932811228,0.622127060753986,22.062523773188
"SFE-SH-1S","w_cover",9.57052395284983,0.587873013938551,23.9129133304168
"SFE-M-1S","physical_w_cover",11.7564810070896,0.757951332715459,28.1306472255036
"SFE-M-2","physical_w_cover",9.80969288545356,0.589559299593632,24.6008502916389
"SFE-M-3","physical_w_cover",12.878977714091,0.829296989938672,31.3685229522398
"SFE-M-4","physical_w_cover",9.60443981621696,0.544961434930452,22.8817379847347
"SFE-SH-1S","physical_w_cover",9.92307061678491,0.585509564483388,24.4517030494213
"SFE-M-1S","chemical_w_cover",0.267709257166586,0.00924476924436062,0.75292513748851
"SFE-M-2","chemical_w_cover",0.277006037505373,0.0100772335209726,0.773790409626446
"SFE-M-3","chemical_w_cover",0.258560676822259,0.0085470265877151,0.729563861391568
"SFE-M-4","chemical_w_cover",0.36215676451339,0.0131328488236633,0.895005978777836
"SFE-SH-1S","chemical_w_cover",0.311482441910919,0.0115075138526578,0.794170957846146
"SFE-M-1S","biological_w_cover",0.321407455407596,0.0124881520580207,0.849286677537143
"SFE-M-2","biological_w_cover",0.329069609282714,0.0125465633917834,0.837988341273579
"SFE-M-3","biological_w_cover",0.298027487251351,0.0112285047428902,0.793067524448313
"SFE-M-4","biological_w_cover",0.368033698797913,0.016701542971659,0.89672773285486
"SFE-SH-1S","biological_w_cover",0.359236530681791,0.0163919558461153,0.868878187419562
"SFE-M-1S","physicochemical_w_cover",0.279023031761743,0.00924826997425316,0.774121973438067
"SFE-M-2","physicochemical_w_cover",0.277410838120321,0.00935108919375929,0.77466111029876
"SFE-M-3","physicochemical_w_cover",0.282764197655393,0.0100133142253855,0.781954118140857
"SFE-M-4","physicochemical_w_cover",0.374267412500975,0.0131139540130594,0.92123044098579
"SFE-SH-1S","physicochemical_w_cover",0.321030331143896,0.0113005448287492,0.804676739154409
"SFE-M-1S","ecohydrological_w_cover",0.29585051600477,0.0109715930800422,0.828737881773486
"SFE-M-2","ecohydrological_w_cover",0.315963854868978,0.0107400942968465,0.832818199555874
"SFE-M-3","ecohydrological_w_cover",0.286392331642695,0.0106805415515924,0.789835812826025
"SFE-M-4","ecohydrological_w_cover",0.357674336168742,0.0147416619458375,0.912752939312044
"SFE-SH-1S","ecohydrological_w_cover",0.338215201131454,0.0138365268484265,0.847865155523587
"SFE-M-1S","biochemical_w_cover",0.282095665254432,0.00928728028111926,0.812494622644782
"SFE-M-2","biochemical_w_cover",0.272814015880404,0.00942516436399657,0.768283241824475
"SFE-M-3","biochemical_w_cover",0.26098695818864,0.00879906121550197,0.737656521802989
"SFE-M-4","biochemical_w_cover",0.360143386306317,0.0143886469504613,0.892374679147646
"SFE-SH-1S","biochemical_w_cover",0.32385571265566,0.0119888518590724,0.811873677278243
"SFE-M-1S","all_w_cover",0.283497518461354,0.00906404355339834,0.808252434012683
"SFE-M-2","all_w_cover",0.276683025966126,0.0100183178972821,0.768119483383963
"SFE-M-3","all_w_cover",0.274216157658619,0.0099250725728315,0.774405362691914
"SFE-M-4","all_w_cover",0.35396120098023,0.012275029288293,0.902068885648839
"SFE-SH-1S","all_w_cover",0.315320446604339,0.0118509212415849,0.792623015171608
