"parameters","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S","model","predicting"
"Temperature",1.00052647278313,1.00020398741822,0.999953736898761,1.00036900398396,1.00054424106877,"physical","AC_cover"
"Discharge",1.00067186369743,1.00051659305677,1.00049844508282,1.00031881799515,1.00007065691149,"physical","AC_cover"
"sigma",1.00060030203555,1.00028457717598,0.99994022337034,1.00043798961757,0.999883224978196,"physical","AC_cover"
"lp__",1.00089952503211,1.00000124426584,1.00045298613344,1.00141978731646,1.00037698987854,"physical","AC_cover"
"b0",1.00018131139593,1.00009398384746,1.00047984100795,1.0001623401166,1.00038153998455,"physicochemical","AC_cover"
"Temperature",1.00013038111443,1.00011880037462,1.00008059822213,1.00101086931046,1.00037649679073,"physicochemical","AC_cover"
"Discharge",1.00028472702739,1.00008182372512,1.00018997909687,1.00012341622328,1.00033824585316,"physicochemical","AC_cover"
"DIN",1.00058608313154,1.00042824260367,1.00052433881528,0.999934465552376,0.999900584983759,"physicochemical","AC_cover"
"OPhos",1.00011382673024,1.00017417288923,1.00067711254193,1.00002582340749,0.999953268667321,"physicochemical","AC_cover"
"Conductivity",1.00038597807981,1.00014579247496,1.00057390692465,1.00032101319856,1.00019083737182,"physicochemical","AC_cover"
"sigma",1.00016309770973,0.999989999292226,1.00034462655348,0.99992201679654,1.00040939255446,"physicochemical","AC_cover"
"lp__",1.00025868165509,0.999838653856116,1.00027538186588,1.00086036473074,1.00043305455834,"physicochemical","AC_cover"
"b0",0.999903487881223,1.0001559958272,0.999965374103405,1.00008033530682,0.999950939012838,"all","M_atx"
"Temperature",1.00012140767307,0.999990423472204,1.00017095480944,1.0002218487923,1.00023353216508,"all","M_atx"
"Discharge",1.0001451895842,1.0001647542999,1.00013313570164,1.00012421823494,1.00029446296227,"all","M_atx"
"DIN",1.00012046247132,0.999991861670521,1.00022732184082,0.99993306659319,0.999832288500351,"all","M_atx"
"OPhos",1.00019569734441,0.999977077781976,0.999953753648045,1.0007050931262,1.00005913157494,"all","M_atx"
"Conductivity",1.00044441805853,1.0001728749978,1.00014634486113,1.00066377966701,1.00017689153922,"all","M_atx"
"GPP",0.999884177289978,0.999984057901618,1.00000010422392,1.00000252308434,1.00029336411156,"all","M_atx"
"sigma",0.999821407685141,0.999932615078921,1.00011502047865,0.999987497487283,0.999898084103653,"all","M_atx"
"lp__",1.00029802418614,0.999978443240753,1.00122496762905,0.999975091140587,1.00000766332351,"all","M_atx"
"b0",1.00003654457589,0.999862230706963,1.00000637215387,1.0002903302907,1.00010805224649,"all_w_cover","M_atx"
"Temperature",1.00068117474659,1.00017897739859,1.00002823883888,1.00011271188238,1.00014543326448,"all_w_cover","M_atx"
"Discharge",1.00025301852425,1.00023299730723,0.999917934368249,1.00025833097469,1.00001552169706,"all_w_cover","M_atx"
"DIN",0.999969590118402,0.99998146326784,0.999830615442509,1.00008155767421,0.999944282460847,"all_w_cover","M_atx"
"OPhos",1.00033703535548,1.00004966903404,1.00014572511765,1.00013203332396,1.00001284892582,"all_w_cover","M_atx"
"Conductivity",1.00026025232565,1.00014877146907,0.999943816202026,1.00013400437099,1.00009660198724,"all_w_cover","M_atx"
"GPP",1.00066715937272,1.00004145623093,1.0000379890356,1.00042486237302,0.999993921352863,"all_w_cover","M_atx"
"Cover",0.999982935405637,0.999899115481065,1.0001257494905,1.00006736991528,1.00014446631109,"all_w_cover","M_atx"
"sigma",1.00038219595168,0.999929070285598,1.00062826278506,0.999995608032116,1.00031213254871,"all_w_cover","M_atx"
"lp__",1.00045323223511,1.00019303068741,1.00077947322181,1.00057808471437,1.00050312951731,"all_w_cover","M_atx"
"b0",0.99995946906299,0.999920899787225,0.999915243965319,1.00006774096398,1.00001364098638,"biochemical","M_atx"
"DIN",1.00002884735109,1.00031527134176,0.999862111000973,0.999996923260721,0.999859248203066,"biochemical","M_atx"
"OPhos",0.999973647582527,0.999919617206881,1.00003334536048,1.00003494998371,1.00004569736608,"biochemical","M_atx"
"Conductivity",0.999850544154098,1.00008764061824,1.0000762620744,0.999811743194414,0.999931225015834,"biochemical","M_atx"
"GPP",1.00000999763598,1.00004742969869,0.999931613695346,0.999937644225555,1.00016518431679,"biochemical","M_atx"
"sigma",0.999850013559178,1.00002619103849,1.00007784919206,0.999885025130052,1.00007985754992,"biochemical","M_atx"
"lp__",1.00016639924291,1.00028257819839,1.00009676387292,0.999977420730805,1.00025038217769,"biochemical","M_atx"
"b0",0.999949974388774,0.999831153161723,1.00005960234268,0.99989549377462,0.999899423547676,"biochemical_w_cover","M_atx"
"DIN",1.00000817001188,1.00020476433155,0.999891659223982,1.00014269968145,1.00003608254145,"biochemical_w_cover","M_atx"
"OPhos",1.00022291933501,1.00011649590766,1.0003567321792,1.00025483325781,1.00022325228487,"biochemical_w_cover","M_atx"
"Conductivity",1.00003693574394,1.00010969538191,1.0004600527388,0.999962457498654,1.00051460875409,"biochemical_w_cover","M_atx"
"GPP",1.00022196369363,0.999894124082654,1.00020253211745,1.0002188469811,0.999999842515105,"biochemical_w_cover","M_atx"
"Cover",1.00002969665969,1.00010567797973,0.999838856070013,1.00007856667664,0.999942192396787,"biochemical_w_cover","M_atx"
"sigma",0.999910294202366,0.999948798804524,1.00005996179401,1.00009706781417,1.00005001681477,"biochemical_w_cover","M_atx"
"lp__",1.00050412892775,1.00007755793295,1.00063317137391,0.999956528398447,1.00027630187754,"biochemical_w_cover","M_atx"
"b0",1.00002600438744,0.999903797587223,0.999999066612591,0.999860478101721,0.999893587312253,"biological","M_atx"
"GPP",0.99987164414627,0.999917572173374,0.999815415840455,0.999843592948863,1.00000818056793,"biological","M_atx"
"sigma",0.999840906514729,0.999980137384723,0.999904480484699,0.999818045768314,0.999906720137642,"biological","M_atx"
"lp__",1.00016440399775,1.00092559771867,0.999967671507644,1.00006999467227,1.00029352804854,"biological","M_atx"
"b0",0.999927228819597,1.00010321835615,1.00001108012453,1.00010961937148,1.00020243953793,"biological_w_cover","M_atx"
"GPP",0.999905525516092,0.999956580495551,1.00017455006957,0.999925440779608,0.99997442398438,"biological_w_cover","M_atx"
"Cover",0.999843306566033,1.00002534988737,0.999998838240481,0.999964841879931,1.00018565185265,"biological_w_cover","M_atx"
"sigma",0.999944203001288,0.9999080358959,1.00005594647732,0.999883548802683,1.00029127154522,"biological_w_cover","M_atx"
"lp__",1.00027274157095,1.00004042828069,0.999988298922574,0.999961937846285,1.00007119095369,"biological_w_cover","M_atx"
"b0",0.999819566622903,0.999844528283541,1.00015826071917,0.999944191989791,0.999931544912088,"chemical","M_atx"
"DIN",1.00028264300383,0.999924820225955,1.00003459101756,0.99990627484032,1.00000002397699,"chemical","M_atx"
"OPhos",0.999881956717521,0.999829614980712,0.999864485209261,0.999985248368713,0.999993003924065,"chemical","M_atx"
"Conductivity",1.00002735244203,0.9999722327697,1.00006355878014,1.00005577077201,1.00001235980016,"chemical","M_atx"
"sigma",1.00001877445103,0.999909577758378,1.00001583556024,0.99999070665751,1.00015198067565,"chemical","M_atx"
"lp__",1.00020143312215,1.00026222245981,1.00037380629627,1.00000821604184,1.00086368544768,"chemical","M_atx"
"b0",0.999956728447114,1.0001124754266,0.999989685053362,0.999962888066903,0.999891632249113,"chemical_w_cover","M_atx"
"DIN",1.00002586977027,1.00020795248642,1.00006742708526,1.0000421086636,0.999947766928988,"chemical_w_cover","M_atx"
"OPhos",0.999924435496043,0.9999409153922,1.00007878033445,0.999865602392215,1.00004624780793,"chemical_w_cover","M_atx"
"Conductivity",0.999973818385494,0.999908153955941,1.00007140818,0.999996220394256,0.999929053781637,"chemical_w_cover","M_atx"
"Cover",0.999941141161577,0.999949227922719,0.999978857811747,0.999831588630136,1.00005393124672,"chemical_w_cover","M_atx"
"sigma",0.999957497358416,0.99990737272062,1.00036418641429,0.999837692132263,0.999936380857282,"chemical_w_cover","M_atx"
"lp__",0.999986368694769,1.00023320904689,1.00009173399633,1.00004886213761,0.999998548254512,"chemical_w_cover","M_atx"
"b0",1.00025917047504,1.00006657397972,0.999948731738944,0.999945185752134,1.00007084598936,"ecohydrological","M_atx"
"Temperature",0.999959732672084,1.00010299525518,0.999883203830927,1.00031702453533,0.999989390475256,"ecohydrological","M_atx"
"Discharge",0.999922337929616,1.00015705043974,1.00009246491708,0.999987046394319,0.999816559835303,"ecohydrological","M_atx"
"GPP",1.00000754350297,0.99999738703737,0.99982483690168,0.999920866498358,0.9999407338618,"ecohydrological","M_atx"
"sigma",0.999872668307713,1.00006148232234,1.00015462363031,1.00009757449193,0.999870921727233,"ecohydrological","M_atx"
"lp__",1.00036576060321,1.00009472533687,0.999966385816651,1.00067090802616,1.00010207032531,"ecohydrological","M_atx"
"b0",1.00005929005306,0.999963697228357,1.00011369105594,0.999977157283889,1.0002392298329,"ecohydrological_w_cover","M_atx"
"Temperature",0.99993905781471,1.00013597252236,1.00014472566159,1.00017748699728,0.999945611993001,"ecohydrological_w_cover","M_atx"
"Discharge",0.999978074758796,1.0002509860564,1.00009025146657,0.999967859242666,1.00003360804395,"ecohydrological_w_cover","M_atx"
"GPP",1.00007180801702,1.00032509777124,1.00010599927355,0.999970443785498,1.00029736582806,"ecohydrological_w_cover","M_atx"
"Cover",0.999820044560275,1.00004226746645,1.0000526814787,0.999933753447938,0.999869420095799,"ecohydrological_w_cover","M_atx"
"sigma",1.00025582655859,1.00011421713618,1.00018475328302,0.999979405094046,1.00024075965164,"ecohydrological_w_cover","M_atx"
"lp__",1.00008803329272,1.00000723827137,1.00144212420767,1.00026259502313,1.00057079680795,"ecohydrological_w_cover","M_atx"
"b0",0.999878990552012,0.999877303051983,1.00007748471765,1.00001809417114,0.99988795010384,"physical","M_atx"
