"date","GPP_mean","GPP_se_mean","GPP_sd","GPP_2.5pct","GPP_25pct","GPP_50pct","GPP_75pct","GPP_97.5pct","GPP_n_eff","GPP_Rhat","ER_mean","ER_se_mean","ER_sd","ER_2.5pct","ER_25pct","ER_50pct","ER_75pct","ER_97.5pct","ER_n_eff","ER_Rhat","DO_R2_mean","DO_R2_se_mean","DO_R2_sd","DO_R2_2.5pct","DO_R2_25pct","DO_R2_50pct","DO_R2_75pct","DO_R2_97.5pct","DO_R2_n_eff","DO_R2_Rhat","GPP_daily_mean","GPP_daily_se_mean","GPP_daily_sd","GPP_daily_2.5pct","GPP_daily_25pct","GPP_daily_50pct","GPP_daily_75pct","GPP_daily_97.5pct","GPP_daily_n_eff","GPP_daily_Rhat","ER_daily_mean","ER_daily_se_mean","ER_daily_sd","ER_daily_2.5pct","ER_daily_25pct","ER_daily_50pct","ER_daily_75pct","ER_daily_97.5pct","ER_daily_n_eff","ER_daily_Rhat","K600_daily_mean","K600_daily_se_mean","K600_daily_sd","K600_daily_2.5pct","K600_daily_25pct","K600_daily_50pct","K600_daily_75pct","K600_daily_97.5pct","K600_daily_n_eff","K600_daily_Rhat","K600_daily_predlog_mean","K600_daily_predlog_se_mean","K600_daily_predlog_sd","K600_daily_predlog_2.5pct","K600_daily_predlog_25pct","K600_daily_predlog_50pct","K600_daily_predlog_75pct","K600_daily_predlog_97.5pct","K600_daily_predlog_n_eff","K600_daily_predlog_Rhat","GPP_pseudo_R2_mean","GPP_pseudo_R2_se_mean","GPP_pseudo_R2_sd","GPP_pseudo_R2_2.5pct","GPP_pseudo_R2_25pct","GPP_pseudo_R2_50pct","GPP_pseudo_R2_75pct","GPP_pseudo_R2_97.5pct","GPP_pseudo_R2_n_eff","GPP_pseudo_R2_Rhat","valid_day","warnings","errors"
2022-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","data don't start when expected"
2022-06-25,3.35613893548024,0.00229709977544075,0.18705347311579,2.99815878259432,3.22741785865491,3.35442427498732,3.4824759833354,3.72588437936477,6630.8901615386,1.00053205662326,-7.26296225449777,0.00568908592356785,0.456386610441288,-8.16837186044135,-7.57493944175457,-7.25431305780287,-6.95015838275424,-6.38160939243422,6435.47789497561,1.00041818080348,0.999806816060054,1.66463799964912e-07,1.38066375931686e-05,0.999778613469654,0.999797797957493,0.999807128088764,0.999816171594424,0.999832667619829,6879.17316868551,1.00028292458306,3.35613893548024,0.00229709977544074,0.18705347311579,2.99815878259432,3.22741785865492,3.35442427498732,3.4824759833354,3.72588437936477,6630.89016153863,1.00053205662326,-7.26296225449777,0.00568908592356782,0.456386610441288,-8.16837186044132,-7.57493944175457,-7.25431305780289,-6.95015838275422,-6.38160939243417,6435.47789497567,1.00041818080348,6.06920957189034,0.0052183675840379,0.432225499358296,5.2299868747697,5.77612790913924,6.0669447862318,6.36071315485349,6.93304954237356,6860.4315257982,1.00036408800295,1.7360399344407,0.000399311489778201,0.0392035706942132,1.65753671678264,1.70982961701556,1.73651803832756,1.76226295529274,1.81184655146273,9638.90358001732,1.0001997131957,0.451662835342523,0.000334287035236867,0.0346262632575943,0.385698534950053,0.427711429955029,0.450701206555385,0.474997758028276,0.521256725006978,10729.3196995159,1.00051248499594,TRUE,"",""
2022-06-26,3.4529607124544,0.00207091282289214,0.177163732794279,3.11443260817214,3.33213169480858,3.45039285684622,3.56977028488393,3.81040486563278,7318.56627282712,1.00033927966565,-6.51630584688661,0.00457054805742637,0.3837899404305,-7.28461805825044,-6.7733881925922,-6.51096640863852,-6.25357263501567,-5.77738088369007,7050.99838065989,1.00047420923396,0.999853057858882,1.2779506292057e-07,1.1227749112978e-05,0.999830259995736,0.999845615683344,0.999853283054322,0.999860832116759,0.999874470615163,7718.93256849022,1.00073806553638,3.4529607124544,0.00207091282289214,0.177163732794279,3.11443260817214,3.33213169480858,3.45039285684623,3.56977028488393,3.81040486563278,7318.56627282713,1.00033927966565,-6.51630584688661,0.00457054805742637,0.3837899404305,-7.28461805825044,-6.77338819259218,-6.51096640863852,-6.25357263501564,-5.77738088369007,7050.99838065988,1.00047420923396,5.62604001732386,0.00452905638521952,0.387733177756888,4.87339735458594,5.36135644481893,5.62195458347785,5.88951724926484,6.38932532278731,7329.09707455157,1.00050067392232,1.76406274859444,0.000433836255669482,0.0429641791133011,1.67690244487254,1.73561180044438,1.76493305324104,1.79329305659124,1.8455432488018,9807.56851071064,1.00008599831616,0.431526857711925,0.000390450069125374,0.0359174818288983,0.361708037479823,0.407060590738475,0.43136411822049,0.455807743158004,0.502698681277005,8462.15066189635,1.00023949531089,TRUE,"",""
2022-06-27,3.52921411772471,0.0021939362868071,0.184516758953726,3.17351704424761,3.40426543583122,3.52648152635706,3.65154310710101,3.89914812452116,7073.32499180058,0.999920368734867,-6.25493182390353,0.00451015581395216,0.378737372344576,-7.02295737310514,-6.50552438912049,-6.24906703908349,-5.99468629661492,-5.52763214566962,7051.69032102071,0.999917599591671,0.999885170184082,1.02341288179283e-07,9.45678803069745e-06,0.999865881867526,0.999878855437935,0.99988545197309,0.999891749812768,0.999902847864509,8538.57801732642,0.999999454420599,3.52921411772471,0.00219393628680711,0.184516758953726,3.17351704424761,3.40426543583122,3.52648152635706,3.65154310710101,3.89914812452116,7073.32499180058,0.999920368734867,-6.25493182390353,0.00451015581395216,0.378737372344576,-7.02295737310518,-6.50552438912047,-6.24906703908352,-5.99468629661494,-5.52763214566959,7051.6903210207,0.999917599591671,5.43995024618953,0.00458257567521326,0.398025562521927,4.68044450004748,5.17070458064,5.43523163236793,5.70085831158229,6.24075296472808,7544.01665647328,0.999998263645712,1.83891116324472,0.000645742466606907,0.0662959897364435,1.70397469347224,1.7953263432202,1.84069268724288,1.88490814987131,1.9626119535865,10540.3691356697,0.999951900167249,0.359155826235746,0.000383503932791466,0.0361984883926719,0.289641254687864,0.334648090348705,0.358486997266369,0.383014431561145,0.43121555833474,8909.25166001772,0.999989289798141,TRUE,"",""
2022-06-28,3.98955477493007,0.00250160076194479,0.201848367538613,3.59903862485911,3.85166948913093,3.98759213479732,4.1256857705324,4.39355160436723,6510.50207606646,1.00023017890729,-6.6098513871402,0.00487947840019271,0.390211235476857,-7.38202299308723,-6.87411515522168,-6.60780449254265,-6.34658516055235,-5.85926633644128,6395.17952258594,1.00033049170296,0.999855890365204,1.23960462492282e-07,1.03134379903982e-05,0.999834706972723,0.99984916646174,0.999856083816858,0.999862917666001,0.999875411701525,6922.14269380859,1.0006615988373,3.98955477493007,0.00250160076194479,0.201848367538613,3.59903862485912,3.85166948913093,3.98759213479732,4.1256857705324,4.39355160436723,6510.50207606645,1.00023017890729,-6.6098513871402,0.0048794784001927,0.390211235476857,-7.3820229930872,-6.87411515522165,-6.60780449254265,-6.34658516055237,-5.85926633644131,6395.17952258595,1.00033049170296,5.66199156719345,0.00507500609242599,0.409506579051349,4.86833067267865,5.38761936105438,5.65813023416819,5.93581955859839,6.47751792181461,6511.01402731269,1.00035423352821,1.84600697648068,0.000717830001319588,0.0732694782612927,1.69652296408324,1.79784338673727,1.84790959631486,1.89609838515489,1.9849096652119,10418.4470075785,0.999982455659251,0.272867102835683,0.000373833643311786,0.0327604802811157,0.210006203215485,0.250726244747931,0.272346968970634,0.294718340806299,0.338430771030743,7679.69113049173,1.000240380539,TRUE,"",""
2022-06-29,5.17817437505943,0.00326166216979823,0.233230869355197,4.73446566303668,5.01681697676006,5.17581621566172,5.33544301155291,5.63936559378995,5113.21564611677,1.00032490497082,-8.11630018780047,0.00568554723058699,0.41652087055197,-8.94536808505121,-8.39458083690765,-8.11028277515993,-7.83151513473771,-7.31209943180026,5366.96782367713,1.00038522377101,0.999813074719926,1.57850621805543e-07,1.16162634239212e-05,0.999789911410086,0.999805304895778,0.999813241354859,0.999821152848702,0.99983515091383,5415.52182055113,1.00102481950311,5.17817437505943,0.00326166216979824,0.233230869355197,4.73446566303668,5.01681697676006,5.17581621566172,5.33544301155291,5.63936559378995,5113.21564611677,1.00032490497082,-8.11630018780047,0.00568554723058698,0.416520870551969,-8.94536808505122,-8.39458083690771,-8.11028277515992,-7.83151513473772,-7.31209943180027,5366.96782367714,1.00038522377101,6.98474518446322,0.00577713046446464,0.429339415772138,6.15990790626948,6.69107861542957,6.98048333193276,7.27040499863856,7.83069063846065,5523.02706435756,1.00031298991352,1.82521707517622,0.000599247538475014,0.0611658229326519,1.70062112872767,1.78505906200195,1.82679046750939,1.86762566281597,1.93899262909951,10418.498386424,0.999960850960164,0.143766650591257,0.000237648403000585,0.0203952717374963,0.104514413647787,0.129960646013081,0.143571475622357,0.157206219651827,0.184455541002964,7365.27881283329,1.0003323552618,TRUE,"",""
2022-06-30,5.873901321268,0.00361454448704572,0.249957052709966,5.39613659050382,5.70460752655557,5.86769187860185,6.03683764705333,6.37676586495472,4782.15492605385,1.00010849082102,-8.74275324328077,0.00598803107464047,0.415625339196754,-9.57432962492717,-9.01882374662867,-8.73427367554131,-8.46451988149082,-7.94871107980336,4817.65774052409,1.00009233538712,0.999796768654615,2.2208040412187e-07,1.38487799596928e-05,0.999768745119863,0.999787701776226,0.999797041262438,0.999806191657534,0.999823125504341,3888.68309110681,1.00186521380184,5.873901321268,0.00361454448704572,0.249957052709966,5.39613659050381,5.70460752655558,5.86769187860185,6.03683764705333,6.37676586495472,4782.15492605385,1.00010849082102,-8.74275324328077,0.00598803107464046,0.415625339196754,-9.57432962492721,-9.01882374662871,-8.73427367554129,-8.4645198814908,-7.94871107980336,4817.6577405241,1.00009233538712,8.37688251312695,0.00638542160093486,0.460687305197461,7.49617794864615,8.06769335897748,8.36889067935999,8.68554731069108,9.30432716991791,5205.15103426882,1.00006765401452,1.79479775260694,0.000506352416587404,0.0508837620298124,1.69044902951608,1.76118776786184,1.79612850333568,1.83008037571287,1.89028784530042,10098.401918622,1.00000086535744,0.094457537132491,0.000216690213906292,0.0165303668196985,0.0637228752264795,0.0829225583893046,0.0939712577130131,0.105309956537864,0.128072665675745,5819.50955147511,1.00017334287005,TRUE,"",""
2022-07-01,3.59988670832951,0.00210828350736429,0.17666557908802,3.25717556696123,3.47902220116688,3.59698767137985,3.71812937176858,3.94930999937104,7021.75803438902,1.00021471427265,-5.91501429675451,0.00406651560715532,0.344424994866411,-6.59948872172865,-6.14784646895301,-5.90972156586007,-5.67864872052608,-5.25045892469497,7173.72021056089,1.0001572257241,0.999885784142352,1.07435267144168e-07,9.41858946743101e-06,0.999866463627435,0.999879654527923,0.999886097434075,0.999892161368898,0.999903418715804,7685.60391433861,1.00036032614875,3.59988670832951,0.00210828350736429,0.17666557908802,3.25717556696123,3.47902220116688,3.59698767137985,3.71812937176858,3.94930999937104,7021.75803438902,1.00021471427265,-5.91501429675451,0.00406651560715532,0.344424994866411,-6.59948872172869,-6.147846468953,-5.90972156586006,-5.67864872052605,-5.25045892469494,7173.72021056087,1.0001572257241,5.31604239535857,0.00455772963735335,0.386125954685243,4.57497964357406,5.05290145934459,5.31175430644324,5.57554978927761,6.07630335955,7177.29622966146,1.00009778796849,1.78348548227561,0.000476763527531873,0.0476068348786221,1.68596338402421,1.75201224733937,1.78448187837281,1.81630008020688,1.87307061768556,9970.85884811677,1.00002608131811,0.369618408064569,0.00035696069582831,0.0332732089537419,0.305301762994691,0.346800619065554,0.368995145780132,0.391687154690068,0.43614240789622,8688.57542782605,1.00048971493103,TRUE,"",""
2022-07-02,3.63512496982157,0.00217390463590772,0.17791224799222,3.28863052445111,3.51356178233425,3.63343516248913,3.75401303028947,3.98748543749173,6697.77751273629,1.00000309836794,-5.76455765290521,0.00414859294690369,0.338883879501198,-6.43478131612899,-5.99035023945701,-5.76419750399426,-5.53639402025967,-5.10486135346381,6672.67805007441,1.00006142313523,0.99986192886396,1.20454759844299e-07,1.03903447536666e-05,0.9998411112569,0.999855072927987,0.999862134540324,0.999869137512339,0.999881596494129,7440.66896739994,1.00058774640217,3.63512496982157,0.00217390463590772,0.17791224799222,3.28863052445111,3.51356178233425,3.63343516248913,3.75401303028947,3.98748543749173,6697.7775127363,1.00000309836794,-5.76455765290521,0.00414859294690369,0.338883879501198,-6.43478131612903,-5.99035023945703,-5.76419750399426,-5.53639402025969,-5.10486135346382,6672.6780500744,1.00006142313523,5.08868780868313,0.00454471967754165,0.381190505731077,4.33950919174732,4.83133866289775,5.08558721337562,5.3424947686672,5.84605755784627,7035.09471720439,1.0000505875713,1.72182508279071,0.000394193688445983,0.0389178717104583,1.64467375221993,1.69581287911485,1.722261089166,1.74797871622701,1.79741217456491,9747.17652741964,1.00025361331824,0.315656261814324,0.000343724587726976,0.0316440462337032,0.25473436888856,0.294179488642967,0.315096792518686,0.336580385383553,0.379164745000558,8475.4510758734,0.999915964271206,TRUE,"",""
2022-07-03,3.06529171651578,0.00171446331378411,0.150675008118665,2.77717706611519,2.96388327111046,3.06313527409431,3.16497430275439,3.36411397171376,7723.71169013233,1.00007855857641,-5.06349949002648,0.00358269973903768,0.309452492166557,-5.68073818047921,-5.26852566979465,-5.05939326473913,-4.85472576199852,-4.46732074777116,7460.48643517219,1.00025811003157,0.99985356197183,1.2125557802214e-07,1.09197592666918e-05,0.999831101144531,0.999846407080525,0.999853808022248,0.999861160284889,0.999873835253351,8110.03401763977,1.00040346099215,3.06529171651578,0.00171446331378411,0.150675008118665,2.7771770661152,2.96388327111046,3.06313527409432,3.16497430275439,3.36411397171377,7723.71169013233,1.00007855857641,-5.06349949002648,0.00358269973903769,0.309452492166557,-5.68073818047922,-5.26852566979464,-5.05939326473913,-4.85472576199854,-4.46732074777118,7460.48643517217,1.00025811003157,4.36449784022975,0.00378445012721647,0.343928480983167,3.69853611747327,4.13133038146659,4.36426952102315,4.59168011541301,5.04559352713307,8259.06169865732,1.00020716981931,1.71301539366463,0.000328406115341917,0.0262249467296127,1.66108862797107,1.69542499019427,1.71318412404527,1.7307350229857,1.76399833939412,6376.8581744373,1.00019877766785,0.373762668107768,0.000270952871257759,0.0293889273413294,0.317193891694442,0.353924583429946,0.373116182844116,0.393077538674096,0.433479657207351,11764.675568247,1.00001570426097,TRUE,"",""
