"SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
-1119.95797017145,-903.72959806916,-1094.73095257138,-556.916583688125,-1008.72792381274
23.527420575918,19.2785733692075,22.208565020585,14.4786358847581,20.8935398108119
-0.145548172784915,0.231259983829159,-0.076556638252898,-0.0558224389093602,0.740409238685652
-0.85705525167489,-0.0170971683686338,-1.32862880978403,0.12815438743897,0.607915622680491
-0.265342916665055,0.406390955536608,0.0865057233728836,-0.0816083417885142,-0.355354082197342
0.77716957221392,-0.208612067880879,1.05269878275656,-0.143375036792443,-0.410231320977972
-0.748635424323808,-0.0676806897850201,-1.35405120588341,0.322761529218311,0.826187664614126
0.648404016293491,-0.10611842418196,0.480599136934604,-0.0327936880720303,-0.471126366467881
101.736144634194,95.1398984660803,103.232993811309,68.9258632426077,99.2668732966125
-7672.076638786,-8145.12244233709,-7876.03299120509,-7582.99910834324,-8335.68907500053
