"SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
1.00235128008695,1.00826673854471,1.00031523883821,1.00460738780728,1.00131353747005
1.00211982974814,1.00822603818468,1.00046560808423,1.00440978749023,1.00121469844727
1.0004667009578,1.003463171482,0.999916893769667,1.00199650580087,1.0002601329809
1.00078739812968,0.99971212256991,0.999988291592871,1.00167767709638,0.99974837134855
1.00087594998341,0.999544377630066,1.00000295986025,0.999618938163999,0.999240533480701
1.00221185773217,0.999597008539578,1.0005796062252,1.00468724451489,0.999151335332062
1.00127133252406,0.999419309510237,1.00008116211971,1.00165671476526,0.999836402612622
1.00150141461194,1.00308998614154,0.999834573624864,1.00243990748727,1.00003017089437
1.00165316996866,1.00905771315646,1.00021023253518,1.004493576905,1.00145296080528
1.00080474147515,1.00190427609018,1.00064333407253,1.00747714848186,0.999671810975896
