discharge_cfs,discharge_cms,depth_m,width_m,velocity_m_s
39.97188755,1.131875945,0.22790758,21.83166273,0.264609641
40.26506024,1.140177658,0.228542472,21.84364953,0.265561459
40.55823293,1.14847937,0.229215737,21.8571999,0.26656776
40.85140562,1.156781083,0.229889002,21.86783222,0.267577212
41.14457831,1.165082795,0.230562267,21.88009099,0.268591963
41.437751,1.173384508,0.231151809,21.89142634,0.269446382
41.73092369,1.18168622,0.231870424,21.90519604,0.270505829
42.02409639,1.189987933,0.232498339,21.91619192,0.271448515
42.31726908,1.198289645,0.233140208,21.9273875,0.272398634
42.61044177,1.206591357,0.233740216,21.93902586,0.27329987
42.90361446,1.21489307,0.234354178,21.94966595,0.274194731
43.19678715,1.223194782,0.234915813,21.96167965,0.275029323
43.48995984,1.231496495,0.235529775,21.9714676,0.275956243
43.78313253,1.239798207,0.23626932,21.98421876,0.277048498
44.07630522,1.24809992,0.23693212,21.99701017,0.278037889
44.36947791,1.256401632,0.237507709,22.00847011,0.278890407
44.6626506,1.264703345,0.238149578,22.01947639,0.279837298
44.95582329,1.273005057,0.238714702,22.029919,0.280682602
45.24899598,1.281306769,0.239363548,22.03994174,0.28166675
45.54216867,1.289608482,0.239928671,22.04859022,0.282514079
45.83534137,1.297910194,0.240560075,22.0617398,0.283457105
46.12851406,1.306211907,0.241156595,22.07284709,0.284342154
46.42168675,1.314513619,0.241742649,22.08258327,0.285204223
46.71485944,1.322815332,0.242339169,22.09272404,0.286100947
47.00803213,1.331117044,0.242949642,22.10380551,0.287016401
47.30120482,1.339418757,0.243598488,22.1167146,0.287991884
47.59437751,1.347720469,0.24414617,22.12767737,0.288802948
47.8875502,1.356022182,0.244822923,22.13942566,0.289801601
48.18072289,1.364323894,0.245388047,22.15040205,0.290631559
48.47389558,1.372625606,0.245928752,22.16017703,0.291453091
48.76706827,1.380927319,0.246546202,22.1703486,0.292361868
49.06024096,1.389229031,0.247111326,22.18133121,0.293215836
49.35341365,1.397530744,0.247659008,22.19089141,0.294034239
49.64658635,1.405832456,0.248231109,22.20031112,0.294881414
49.93975904,1.414134169,0.24875786,22.20996689,0.29566664
50.23293173,1.422435881,0.249305542,22.2190356,0.296491921
50.52610442,1.430737594,0.24992648,22.23069246,0.297410233
50.81927711,1.439039306,0.250540442,22.24009549,0.298341667
51.1124498,1.447341018,0.251056728,22.24851487,0.299116852
51.40562249,1.455642731,0.251632317,22.25992837,0.299974045
51.69879518,1.463944443,0.25224279,22.27290459,0.300894505
51.99196787,1.472246156,0.252863729,22.28525949,0.30181542
52.28514056,1.480547868,0.25345676,22.29797357,0.30269312
52.57831325,1.488849581,0.253973046,22.30801853,0.303463186
52.87148594,1.497151293,0.254482355,22.31736008,0.304221676
53.16465863,1.505453006,0.254946315,22.326903,0.304915722
53.45783133,1.513754718,0.255542835,22.33686138,0.305816631
53.75100402,1.522056431,0.256132378,22.34623198,0.306688766
54.04417671,1.530358143,0.256718432,22.35622344,0.307561736
54.3373494,1.538659855,0.257314952,22.36800989,0.308459318
54.63052209,1.546961568,0.257852168,22.37893628,0.309271544
54.92369478,1.55526328,0.258396362,22.38948272,0.310079984
55.21686747,1.563564993,0.258849856,22.39790058,0.310766305
55.51004016,1.571866705,0.259383584,22.40863555,0.311565462
55.80321285,1.580168418,0.259882428,22.41616094,0.312295248
56.09638554,1.58847013,0.260468482,22.42596242,0.313169998
56.38955823,1.596771843,0.260970815,22.43485143,0.313930113
56.68273092,1.605073555,0.261501054,22.44484016,0.314726357
56.97590361,1.613375267,0.26201734,22.45511409,0.315497542
57.26907631,1.62167698,0.262530138,22.46363723,0.316244692
57.562249,1.629978692,0.263004563,22.47313528,0.316966943
57.85542169,1.638280405,0.263618525,22.48530495,0.317881934
58.14859438,1.646582117,0.264187137,22.49536666,0.318740904
58.44176707,1.65488383,0.26473133,22.50684733,0.319550711
58.73493976,1.663185542,0.265254593,22.51423431,0.320341681
59.02811245,1.671487255,0.265749949,22.52432573,0.321074819
59.32128514,1.679788967,0.266287165,22.53533788,0.321879814
59.61445783,1.68809068,0.266866243,22.54501178,0.322736982
59.90763052,1.696392392,0.26735811,22.55422602,0.323468851
60.20080321,1.704694104,0.267808116,22.56415401,0.324146724
60.4939759,1.712995817,0.268244168,22.57240225,0.324814964
60.78714859,1.721297529,0.268781385,22.58217467,0.325608158
61.08032129,1.729599242,0.269304648,22.592187,0.326393363
61.37349398,1.737900954,0.269761631,22.60137233,0.327076964
61.66666667,1.746202667,0.270263963,22.61108444,0.327832339
61.95983936,1.754504379,0.270787226,22.62002846,0.328619611
62.25301205,1.762806092,0.271251185,22.6282528,0.329310638
62.54618474,1.771107804,0.271736076,22.63615052,0.330037175
62.83935743,1.779409516,0.272262827,22.64632155,0.330824364
63.13253012,1.787711229,0.272796555,22.65710073,0.331631169
63.42570281,1.796012941,0.273389586,22.66913413,0.332514587
63.7188755,1.804314654,0.273898895,22.67954204,0.333272237
64.01204819,1.812616366,0.274397739,22.6876511,0.334016572
64.30522088,1.820918079,0.274851234,22.69683912,0.334683769
64.59839357,1.829219791,0.275357055,22.70756886,0.33544674
64.89156627,1.837521504,0.275845433,22.71723198,0.336179934
65.18473896,1.845823216,0.276260555,22.72505356,0.33680641
65.47791165,1.854124929,0.276707073,22.73233141,0.337463571
65.77108434,1.862426641,0.27728615,22.74340934,0.33832791
66.06425703,1.870728353,0.277690807,22.75213782,0.338949035
66.35742972,1.879030066,0.278210581,22.7610934,0.339733093
66.65060241,1.887331778,0.278678029,22.77091188,0.340422222
66.9437751,1.895633491,0.279107105,22.77984556,0.341055166
67.23694779,1.903935203,0.279550134,22.78797223,0.341726487
67.53012048,1.912236916,0.280115258,22.80013551,0.342585155
67.82329317,1.920538628,0.280652475,22.80947303,0.343393856
68.11646586,1.928840341,0.281078062,22.8175887,0.344033846
68.40963855,1.937142053,0.281538533,22.82553431,0.344715667
68.70281124,1.945443765,0.282019935,22.83343288,0.345417963
68.99598394,1.953745478,0.28249436,22.84240996,0.346121708
69.28915663,1.96204719,0.283024599,22.85363593,0.346930372
69.58232932,1.970348903,0.283408326,22.86223374,0.347507083
69.87550201,1.978650615,0.283896704,22.87172479,0.348233173
