discharge_cfs,discharge_cms,median_depth_mir,median_width_mir,median_depth_stan,median_width_stan
10,0.283168,0.249799499,17.97094949,0.18235589,17.87932931
13.87755102,0.392967837,0.279774436,19.44202099,0.204837093,18.99820165
17.75510204,0.502767674,0.302255639,20.42549629,0.227318296,19.78316988
21.63265306,0.61256751,0.324736842,21.56495765,0.242305764,20.37998377
25.51020408,0.722367347,0.347218045,22.43034327,0.264786967,20.82984467
29.3877551,0.832167184,0.362205514,23.1467812,0.279774436,21.24968645
33.26530612,0.94196702,0.377192983,23.84377133,0.294761905,21.53937687
37.14285714,1.051766857,0.399674186,24.61574405,0.302255639,21.91930835
41.02040816,1.161566694,0.414661654,25.12036139,0.317243108,22.22479339
44.89795918,1.271366531,0.429649123,25.88934372,0.332230576,22.43239567
48.7755102,1.381166367,0.444636592,26.6879912,0.339724311,22.64028475
52.65306122,1.490966204,0.45962406,27.42649419,0.354711779,22.85159404
56.53061224,1.600766041,0.474611529,28.09553598,0.362205514,23.07156575
60.40816327,1.710565878,0.489598998,28.89617548,0.373446115,23.24456117
64.28571429,1.820365714,0.504586466,29.45191039,0.384686717,23.4331752
68.16326531,1.930165551,0.512080201,29.95634931,0.392180451,23.6054683
72.04081633,2.039965388,0.519573935,30.38513974,0.399674186,23.75644603
75.91836735,2.149765224,0.530814536,30.97944193,0.40716792,23.92221082
79.79591837,2.259565061,0.542055138,31.50975309,0.414661654,24.10303119
83.67346939,2.369364898,0.549548872,31.92105166,0.429649123,24.23984015
87.55102041,2.479164735,0.557042607,32.24326464,0.437142857,24.43178954
91.42857143,2.588964571,0.568283208,32.50561038,0.444636592,24.57163392
95.30612245,2.698764408,0.57952381,32.93573571,0.452130326,24.69145759
99.18367347,2.808564245,0.587017544,33.33032466,0.45962406,24.8208875
103.0612245,2.918364082,0.602005013,33.84987597,0.467117795,24.95361771
106.9387755,3.028163918,0.609498747,34.38659492,0.474611529,25.07846714
110.8163265,3.137963755,0.609498747,34.55496051,0.482105263,25.20758935
114.6938776,3.247763592,0.616992481,34.97340342,0.482105263,25.2965714
118.5714286,3.357563429,0.628233083,35.38230821,0.489598998,25.3946936
122.4489796,3.467363265,0.63197995,35.59099287,0.497092732,25.47284751
126.3265306,3.577163102,0.639473684,35.85151223,0.504586466,25.56086674
130.2040816,3.686962939,0.639473684,36.06106023,0.512080201,25.63235596
134.0816327,3.796762776,0.646967419,36.26254168,0.519573935,25.72637345
137.9591837,3.906562612,0.654461153,36.47392419,0.527067669,25.81959322
141.8367347,4.016362449,0.654461153,36.64865817,0.534561404,25.93437401
145.7142857,4.126162286,0.661954887,36.71374713,0.534561404,26.01960038
149.5918367,4.235962122,0.661954887,36.76048545,0.542055138,26.13871571
153.4693878,4.345761959,0.661954887,37.04947041,0.549548872,26.20867846
157.3469388,4.455561796,0.669448622,37.20778928,0.557042607,26.32664303
161.2244898,4.565361633,0.669448622,37.52172201,0.564536341,26.41780128
165.1020408,4.675161469,0.676942356,37.72470882,0.564536341,26.55305255
168.9795918,4.784961306,0.676942356,37.83629356,0.572030075,26.661119
172.8571429,4.894761143,0.680689223,37.9823708,0.57952381,26.72932408
176.7346939,5.00456098,0.676942356,38.22629001,0.587017544,26.8259777
180.6122449,5.114360816,0.691929825,38.31202156,0.587017544,26.90649415
184.4897959,5.224160653,0.706917293,38.47129842,0.594511278,26.97578282
188.3673469,5.33396049,0.718157895,38.69177789,0.602005013,27.0363009
192.244898,5.443760327,0.729398496,38.85356178,0.609498747,27.08552
196.122449,5.553560163,0.736892231,38.95137893,0.609498747,27.14547013
200,5.66336,0.744385965,39.0859694,0.616992481,27.21134435
