discharge_cfs,discharge_cms,depth_m,width_m,velocity_m_s
69.11646586,1.957157141,0.242768747,27.08291349,0.332375305
69.75903614,1.975352675,0.243741807,27.11659371,0.333760372
70.40160643,1.993548209,0.244661205,27.15042037,0.335072722
71.04417671,2.011743743,0.24562711,27.1849876,0.336440381
71.68674699,2.029939277,0.246517889,27.21594953,0.337670081
72.32931727,2.048134811,0.247412245,27.24749536,0.338935719
72.97188755,2.066330345,0.248324489,27.27940387,0.340221383
73.61445783,2.08452588,0.249168761,27.30955046,0.341421049
74.25702811,2.102721414,0.250081004,27.34498029,0.342689406
74.89959839,2.120916948,0.250925277,27.37577103,0.343872405
75.54216867,2.139112482,0.251869717,27.40971121,0.345208767
76.18473896,2.157308016,0.252721144,27.43829089,0.346394895
76.82730924,2.17550355,0.253622655,27.46655304,0.347636098
77.46987952,2.193699084,0.254610025,27.49755279,0.349034573
78.1124498,2.211894618,0.255454297,27.5308429,0.350269594
78.75502008,2.230090153,0.256341498,27.56501859,0.351514834
79.39759036,2.248285687,0.257157151,27.59645662,0.352658253
80.04016064,2.266481221,0.257979959,27.62217896,0.3538007
80.68273092,2.284676755,0.258842119,27.64875618,0.35497833
81.3253012,2.302872289,0.259621997,27.67552789,0.35604387
81.96787149,2.321067823,0.260534241,27.71257117,0.357315477
82.61044177,2.339263357,0.261414287,27.74094369,0.358547386
83.25301205,2.357458892,0.26222994,27.77354255,0.359670609
83.89558233,2.375654426,0.263109987,27.80346079,0.360894424
84.53815261,2.39384996,0.263893443,27.83497641,0.361979433
85.18072289,2.412045494,0.264809264,27.86785647,0.363272187
85.82329317,2.430241028,0.265610607,27.89454463,0.364390198
86.46586345,2.448436562,0.266394063,27.923072,0.365456162
87.10843373,2.466632096,0.267220448,27.95234847,0.366618668
87.75100402,2.484827631,0.267986017,27.97975859,0.367661974
88.3935743,2.503023165,0.268783783,28.0075921,0.36874127
89.03614458,2.521218699,0.269606591,28.03414716,0.369891283
89.67871486,2.539414233,0.270418667,28.06481404,0.370978773
90.32128514,2.557609767,0.271223587,28.09679319,0.372092623
90.96385542,2.575805301,0.272032085,28.12595218,0.373207057
91.6064257,2.594000835,0.272851316,28.1546899,0.37433346
92.24899598,2.612196369,0.273570378,28.17894983,0.375327243
92.89156627,2.630391904,0.274393186,28.20740193,0.376458789
93.53413655,2.648587438,0.275158755,28.23622564,0.377510929
94.17670683,2.666782972,0.275963676,28.26633611,0.378634743
94.81927711,2.684978506,0.276725667,28.29461509,0.379659376
95.46184739,2.70317404,0.277516278,28.32365071,0.380740074
96.10441767,2.721369574,0.27824965,28.35265503,0.381745416
96.74698795,2.739565108,0.278979445,28.37852155,0.382724046
97.38955823,2.757760643,0.279823717,28.4097111,0.383874128
98.03212851,2.775956177,0.280589286,28.44163743,0.384920542
98.6746988,2.794151711,0.281344123,28.46707847,0.385961466
99.31726908,2.812347245,0.282106115,28.49496052,0.386971744
99.95983936,2.830542779,0.282810867,28.52148731,0.387938286
100.6024096,2.848738313,0.283580014,28.54774603,0.388986136
101.2449799,2.866933847,0.284345583,28.57506031,0.390010949
101.8875502,2.885129382,0.28505749,28.59879341,0.390979829
102.5301205,2.903324916,0.285712159,28.62463282,0.391870012
103.1726908,2.92152045,0.286441954,28.64900858,0.392858192
103.815261,2.939715984,0.287228988,28.67723881,0.39391742
104.4578313,2.957911518,0.287919431,28.70714159,0.394860944
105.1004016,2.976107052,0.288731506,28.73855368,0.395951766
105.7429719,2.994302586,0.289454146,28.76476947,0.396931279
106.3855422,3.01249812,0.290216138,28.79202785,0.397950947
107.0281124,3.030693655,0.290910158,28.82259399,0.39886912
107.6706827,3.048889189,0.291604179,28.84871112,0.399796606
108.313253,3.067084723,0.292283889,28.87401168,0.400721252
108.9558233,3.085280257,0.29297791,28.90143058,0.401661262
109.5983936,3.103475791,0.293754211,28.93235224,0.402705275
110.2409639,3.121671325,0.294458964,28.96278259,0.403668222
