SORT,Sample #,Waterbody / Project,Collection Date,Date Received,Analysis Requested,MC Results sent?,ATX Results sent?,PST Results sent?,Notes,Invoice                   / Final Report,,Sample Type,Sample Volume For Toxin (mL),,Sample weight based?  (FW or DW),Extracted Sample Weight (g),Who Weighed?,,Sample Extracted?,Extraction Volume (mL),Date Extracted,Who Extracted?,,HPLC RUN?,AVERAGE LCMS μg/l or μg/g,Min Detect Limit,,(n),MS/MS,,(ATX+HTX) only,ATX + dhATX + HTX+dhHTX,Detection limit       ATX by  LCMSMS    in μg/L,Units,,Anatoxin- a  LC-MS/MS toxic,ATX confirmation,HomoATX  LC-MS/MS,HomoATX confirmation,DiHydroATX  LC-MS/MS,DihydroATX confirmation,DiHydrohomoATX  LC-MS/MS,DihydrohomoATX confirmation,Phenyl-alanine,(n),CYL + dCYL,[CYL],Confirm?,CYL LCMSMS,Confirm?,LCMSMS Detection Limit,CYL μg/L OR μg/g,,,Date Tested,Long or Short Protocol,Voucher Conc in μg/mL,Sample Conc in μg/L or g/kg,dRR,RR,mRR,H4YR,hYR,YR,dLR,LR,mLR,meLR,AR,FR,WR,dLA,LA,mLA,LL,LY,LW,LF,NOD,zLR,??
49,24-049,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1037,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,3.661,4.425,(<0.1115),ug/gram,,3.644,confirmed,0.017,possible,0.763,confirmed,-, , ,1,,, ,, ,(<0.0893),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
50,24-050,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1062,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,4.534,5.273,(<0.1089),ug/gram,,4.534,confirmed,-, ,0.739,confirmed,-, , ,1,,, ,, ,(<0.0872),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
51,24-051,Russian River,8/2/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1117,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.113,0.113,(<0.1035),ug/gram,,-, ,0.113,possible,-, ,-, ,confirmed,1,,, ,, ,(<0.0829),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
52,24-052,Russian River,8/2/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1637,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,,,(<0.1413),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.1131),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
53,24-053,Russian River,8/2/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1269,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,,,(<0.0911),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.0730),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,24-054,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0537,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.17),ug/g,-1,-1,,72.138,94.073,(<0.2153),ug/gram,,72.138,confirmed,-, ,21.935,confirmed,-, , ,1,,, ,, ,(<0.1724),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,24-055,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1986,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,1.894,2.045,(<0.1165),ug/gram,,1.894,confirmed,-, ,0.151,confirmed,-, , ,1,,, ,, ,(<0.0932),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
56,24-056,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1042,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,32.582,43.733,(<0.1110),ug/gram,,32.582,confirmed,-, ,11.15,confirmed,-, , ,1,,, ,, ,(<0.0888),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
57,24-057,Russian River,8/17/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0712,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,0.073,0.186,(<0.1624),ug/gram,,-, ,0.073,possible,0.113,confirmed,-, ,confirmed,1,,, ,, ,(<0.1300),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
58,24-058,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<1.80),ug/L,-1,-1,,,,(<2.3127),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<1.852),ug/L,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
59,24-059,Russian River,8/17/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1675,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,,,(<0.1381),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.1105),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
60,24-060,Russian River,8/17/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1529,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,,0.239,(<0.1513),ug/gram,,-, ,-, ,0.239,confirmed,-, ,confirmed,1,,, ,, ,(<0.1211),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
61,24-061,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1621,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,0.601,0.779,(<0.1427),ug/gram,,0.601,confirmed,-, ,0.178,confirmed,-, , ,1,,, ,, ,(<0.1142),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
62,24-062,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1741,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.013,0.306,(<0.1328),ug/gram,,0.013,possible,-, ,0.292,confirmed,-, , ,1,,, ,, ,(<0.1064),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
63,24-063,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2058,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,0.17,(<0.1124),ug/gram,,-, ,-, ,0.17,possible,-, , ,1,,, ,, ,(<0.0900),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
64,24-064,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1751,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.375,1.441,(<0.1321),ug/gram,,0.375,confirmed,-, ,1.066,confirmed,-, , ,1,,, ,, ,(<0.1057),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
65,24-065,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1719,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.533,1.795,(<0.1345),ug/gram,,0.533,confirmed,-, ,1.262,confirmed,-, , ,1,,, ,, ,(<0.1077),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
66,24-066,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1778,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.223,0.787,(<0.1301),ug/gram,,0.223,possible,-, ,0.564,confirmed,-, , ,1,,, ,, ,(<0.1041),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
67,24-067,Sfk Eel River,9/6/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0504,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.18),ug/g,-1,-1,,,0.031,(<0.2294),ug/gram,,-, ,-, ,0.031,confirmed,-, ,confirmed,1,,, ,, ,(<0.1837),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
68,24-068,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1559,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,0.486,1.012,(<0.1483),ug/gram,,0.463,confirmed,0.023,possible,0.526,confirmed,-, , ,1,,, ,, ,(<0.1188),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
69,24-069,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2469,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,,0.024,(<0.0937),ug/gram,,-, ,-, ,0.024,confirmed,-, ,possible,1,,, ,, ,(<0.0750),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
70,24-070,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2456,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,0.243,0.382,(<0.0942),ug/gram,,0.243,confirmed,-, ,0.139,confirmed,-, , ,1,,, ,, ,(<0.0754),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
71,24-071,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2195,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.358,0.579,(<0.1054),ug/gram,,0.358,confirmed,-, ,0.222,confirmed,-, , ,1,,, ,, ,(<0.0844),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
72,24-072,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2246,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.275,0.419,(<0.1030),ug/gram,,0.275,confirmed,-, ,0.144,possible,-, , ,1,,, ,, ,(<0.0824),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
73,24-073,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0999,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.067,0.094,(<0.0708),ug/gram,,0.067,confirmed,-, ,0.027,confirmed,-, ,possible,1,,, ,, ,(<0.1334),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
74,24-074,Salmon River,9/22/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1019,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.018,0.018,(<0.0694),ug/gram,,0.018,possible,-, ,-, ,-, , ,1,,, ,, ,(<0.1308),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
75,24-075,Russian River,6/24/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0377,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,,,(<0.0750),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.1414),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
76,24-076,Sfk Eel River,6/29/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.003,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<1.20),ug/g,-1,-1,,,,(<0.9428),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<1.7772),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
77,24-077,Sfk Eel River,6/29/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0046,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.78),ug/g,-1,-1,,,,(<0.6149),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<1.1591),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
78,24-078,Sfk Eel River,6/29/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0033,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<1.09),ug/g,-1,-1,,,,(<0.8571),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<1.6157),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
79,24-079,Russian River,7/6/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0349,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.01,0.01,(<0.0810),ug/gram,,-, ,0.01,possible,-, ,-, ,confirmed,1,,, ,, ,(<0.1528),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
80,24-080,Russian River,7/6/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0386,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0733),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1381),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
81,24-081,Russian River,7/7/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0723,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,,,(<0.0978),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.1844),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
82,24-082,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0453,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.001,0.001,(<0.0624),ug/gram,,0.001,suspect,-, ,-, ,-, ,possible,1,,, ,, ,(<0.1177),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
83,24-083,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0276,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,0.003,0.019,(<0.1025),ug/gram,,0.003,suspect,-, ,0.017,possible,-, , ,1,,, ,, ,(<0.1932),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
84,24-084,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0312,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,,,(<0.0907),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.1709),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
85,24-085,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.025,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.14),ug/g,-1,-1,,,,(<0.1131),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.2133),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
86,24-086,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.046,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0615),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1159),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
87,24-087,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<1.80),ug/L,-1,-1,,,,(<1.4142),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<2.666),ug/L,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
88,24-088,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0455,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0622),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1172),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
89,24-089,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0574,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.16),ug/g,-1,-1,,1.934,2.296,(<0.1232),ug/gram,,1.924,confirmed,0.01,suspect,0.363,confirmed,-, , ,1,,, ,, ,(<0.2322),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
90,24-090,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0293,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,2.131,2.369,(<0.0965),ug/gram,,2.129,confirmed,0.003,suspect,0.238,confirmed,-, , ,1,,, ,, ,(<0.1820),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
91,24-091,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0488,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,2.037,2.556,(<0.0580),ug/gram,,2.037,confirmed,-, ,0.52,confirmed,-, , ,1,,, ,, ,(<0.1093),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
92,24-092,Russian River,8/2/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0381,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.012,0.012,(<0.0742),ug/gram,,-, ,0.012,suspect,-, ,-, ,possible,1,,, ,, ,(<0.1399),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
93,24-093,Russian River,8/2/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0454,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0623),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.1174),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
94,24-094,Russian River,8/2/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0212,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.17),ug/g,-1,-1,,,,(<0.1334),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.2515),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
95,24-095,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0773,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,10.209,13.035,(<0.0915),ug/gram,,10.209,confirmed,-, ,2.827,confirmed,-, , ,1,,, ,, ,(<0.1724),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
96,24-096,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0551,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.16),ug/g,-1,-1,,0.255,0.255,(<0.1283),ug/gram,,0.255,confirmed,-, ,-, ,-, , ,1,,, ,, ,(<0.2419),ug/gram,,,29-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
97,24-097,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0604,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.15),ug/g,-1,-1,,4.524,5.373,(<0.1171),ug/gram,,4.524,confirmed,-, ,0.849,confirmed,-, , ,1,,, ,, ,(<0.2207),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
98,24-098,Russian River,8/17/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0582,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.16),ug/g,-1,-1,,,,(<0.1215),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.2290),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
99,24-099,Russian River,8/17/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1608,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,,,(<0.0879),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.1658),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
100,24-100,Russian River,8/17/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0521,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.17),ug/g,-1,-1,,,,(<0.1357),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.2558),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
101,24-101,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0287,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,0.665,0.694,(<0.0986),ug/gram,,0.665,confirmed,-, ,0.029,confirmed,-, , ,1,,, ,, ,(<0.1858),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
102,24-102,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.034,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,,,(<0.0832),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1568),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
103,24-103,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0386,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,1.204,1.274,(<0.0733),ug/gram,,1.204,confirmed,-, ,0.07,possible,-, , ,1,,, ,, ,(<0.1381),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
104,24-104,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0953,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,,0.075,(<0.0742),ug/gram,,-, ,-, ,0.075,confirmed,-, , ,1,,, ,, ,(<0.1399),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
105,24-105,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1097,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0645),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1215),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
