SORT,Sample #,Waterbody / Project,Collection Date,Date Received,Analysis Requested,MC Results sent?,ATX Results sent?,PST Results sent?,Notes,Invoice                   / Final Report,,Sample Type,Sample Volume For Toxin (mL),,Sample weight based?  (FW or DW),Extracted Sample Weight (g),Who Weighed?,,Sample Extracted?,Extraction Volume (mL),Date Extracted,Who Extracted?,,HPLC RUN?,AVERAGE LCMS μg/l or μg/g,Min Detect Limit,,(n),MS/MS,,(ATX+HTX) only,ATX + dhATX + HTX+dhHTX,Detection limit       ATX by  LCMSMS    in μg/L,Units,,Anatoxin- a  LC-MS/MS toxic,ATX confirmation,HomoATX  LC-MS/MS,HomoATX confirmation,DiHydroATX  LC-MS/MS,DihydroATX confirmation,DiHydrohomoATX  LC-MS/MS,DihydrohomoATX confirmation,Phenyl-alanine,(n),CYL + dCYL,[CYL],Confirm?,CYL LCMSMS,Confirm?,LCMSMS Detection Limit,CYL μg/L OR μg/g,,,Date Tested,Long or Short Protocol,Voucher Conc in μg/mL,Sample Conc in μg/L or g/kg,dRR,RR,mRR,H4YR,hYR,YR,dLR,LR,mLR,meLR,AR,FR,WR,dLA,LA,mLA,LL,LY,LW,LF,NOD,zLR,??
11,24-011,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1033,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.1119),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.0896),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
12,24-012,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1136,Owner,,Y,5,1-Jan-24,Owner,,LCMS,1.11,(<0.08),ug/g,-1,-1,,,,(<0.1018),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0815),ug/gram,,,28-Feb-24, ,0.025,1112.339,,,,,,,,,,,,,,100%,,,,,,,,,
13,24-013,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0983,Owner,,Y,5,1-Jan-24,Owner,,LCMS,1.08,(<0.09),ug/g,-1,-1,,0.205,0.205,(<0.1176),ug/gram,,-, ,0.205,possible,-, ,-, ,possible,1,,, ,, ,(<0.0942),ug/gram,,,28-Feb-24, ,0.021,1083.232,,,,,,,,,,,,,,100%,,,,,,,,,
14,24-014,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2235,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.1035),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0828),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
15,24-015,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1908,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.1212),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.0970),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
16,24-016,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1733,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.288,0.288,(<0.1335),ug/gram,,0.288,confirmed,-, ,-, ,-, , ,1,,, ,, ,(<0.1068),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
17,24-017,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1594,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,0.415,0.415,(<0.1451),ug/gram,,0.415,confirmed,-, ,-, ,-, , ,1,,, ,, ,(<0.1162),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
18,24-018,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1633,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.526,0.581,(<0.1416),ug/gram,,0.526,possible,-, ,0.055,confirmed,-, ,possible,1,,, ,, ,(<0.1134),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
19,24-019,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2038,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.1135),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.0909),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
20,24-020,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.168,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,3.754,4.365,(<0.1377),ug/gram,,3.754,confirmed,-, ,0.611,confirmed,-, , ,1,,, ,, ,(<0.1102),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
