field_date,site_reach,sample_type,triplicate,tin_g,wet_sample_tin_g,dry_sample_tin_g,combusted_sample_tin_g
6/28/2023,SAL-3,TM,n,1.28655,5.14544,1.69072,1.65146
7/3/2023,SFE-M-3,TM,n,1.29162,7.2382,1.32785,1.30349
7/10/2023,SFE-M-1S,TM,n,1.29362,3.47071,1.30172,1.29456
7/10/2023,SFE-M-2,TM,n,1.28701,2.001,1.45805,1.44814
7/10/2023,SFE-M-3,TM,n,1.2908,1.8364,1.29611,1.2916
7/11/2023,SFE-SH-1S,TM,n,1.29023,6.13499,1.30315,1.29422
7/13/2023,SAL-1S,TM,y,1.29414,3.79143,1.31152,1.30749
7/13/2023,SAL-1S,TM,y,1.29332,4.14922,1.31856,1.3125
7/13/2023,SAL-1S,TM,y,1.28422,4.17182,1.30695,1.30122
7/13/2023,SAL-2,TM,n,1.27723,3.615,1.43231,1.40144
7/13/2023,SAL-3,TM,n,1.29429,3.27968,1.35591,1.33937
7/17/2023,SFE-SH-1S,TM,n,1.28656,8.6442,1.37273,1.31614
7/17/2023,SFE-M-1S,TM,n,1.28815,5.45418,1.32427,1.29872
7/17/2023,SFE-M-3,TM,y,1.28883,5.908,1.34687,1.30997
7/17/2023,SFE-M-3,TM,y,1.29527,5.9524,1.32444,1.30303
7/17/2023,SFE-M-3,TM,y,1.28827,5.9581,1.31143,1.29457
7/24/2023,SFE-SH-1S,TM,n,1.30361,9.80206,1.36333,1.32517
7/24/2023,SFE-M-1S,TM,n,1.2923,6.8048,1.32,1.30042
7/24/2023,SFE-M-2,TM,n,1.28373,4.06593,1.34433,1.33468
7/24/2023,SFE-M-3,TM,y,1.28984,3.57409,1.31124,1.29701
7/24/2023,SFE-M-3,TM,y,1.29328,3.49337,1.32244,1.30481
7/24/2023,SFE-M-3,TM,y,1.26933,4.82,1.28824,1.27664
7/27/2023,SAL-1S,TM,n,1.29339,9.08759,1.8036,1.70196
7/27/2023,SAL-2,TM,n,1.29092,4.0965,1.44902,1.40534
7/27/2023,SAL-3,TM,n,1.28646,3.9328,1.41253,1.37083
7/31/2023,SFE-SH-1S,TM,n,1.28763,3.48178,1.38324,1.318
7/31/2023,SFE-M-1S,TM,y,1.29207,3.01102,1.36631,1.31717
7/31/2023,SFE-M-1S,TM,y,1.2946,3.1343,1.36969,1.31738
7/31/2023,SFE-M-1S,TM,y,1.28946,3.015,1.37789,1.3113
7/31/2023,SFE-M-2,TM,n,1.29239,3.02879,1.50534,1.45066
7/31/2023,SFE-M-3,TM,n,1.2929,3.1575,1.33152,1.30175
8/7/2023,SFE-M-1S,TM,y,1.29439,5.85296,1.35941,1.31542
8/7/2023,SFE-M-1S,TM,y,1.28585,6.27144,1.35068,1.30779
8/7/2023,SFE-M-1S,TM,y,1.28848,5.222,1.31963,1.29681
8/7/2023,SFE-M-2,TM,n,1.29421,9.40059,1.37954,1.34826
8/7/2023,SFE-M-3,TM,n,1.28815,8.1945,1.32861,1.30122
8/7/2023,SFE-M-4,TM,n,1.29031,2.21087,1.30834,1.30667
8/10/2023,SAL-1S,TM,y,1.29164,2.28826,1.33863,1.32521
8/10/2023,SAL-1S,TM,y,1.29451,2.1685,1.32344,1.31492
8/10/2023,SAL-1S,TM,y,1.29506,2.8316,1.35749,1.33927
8/10/2023,SAL-2,TM,n,1.29676,6.8474,1.4252,1.38349
8/10/2023,SAL-3,TM,n,1.29365,6.65759,1.33216,1.31711
8/14/2023,SFE-SH-1S,TM,n,1.29388,2.77094,1.33732,1.30462
8/14/2023,SFE-M-1S,TM,n,1.29165,3.70656,1.34793,1.30576
8/14/2023,SFE-M-2,TM,n,1.29287,3.46202,1.36125,1.32085
8/14/2023,SFE-M-3,TM,y,1.29423,3.44592,1.32477,1.3021
8/14/2023,SFE-M-3,TM,y,1.29875,3.4393,1.32669,1.30593
8/14/2023,SFE-M-3,TM,y,1.28771,3.4458,1.32279,1.2959
8/22/2023,SFE-SH-1S,TM,n,1.28693,4.92021,1.31006,1.29215
8/22/2023,SFE-M-1S,TM,n,1.29183,5.19504,1.32174,1.30135
8/22/2023,SFE-M-2,TM,n,1.28897,3.5244,1.30704,1.29693
8/22/2023,SFE-M-3,TM,y,1.28924,8.07596,1.36914,1.31334
8/22/2023,SFE-M-3,TM,y,1.286,3.94587,1.30901,1.29048
8/22/2023,SFE-M-3,TM,y,1.28751,3.92077,1.29977,1.29026
8/22/2023,SFE-M-4,TM,n,1.29148,2.2937,1.3049,1.29959
8/28/2023,SFE-SH-1S,TM,y,1.28699,3.87,1.33857,1.3002
8/28/2023,SFE-SH-1S,TM,y,1.29144,3.94609,1.35497,1.30553
8/28/2023,SFE-SH-1S,TM,y,1.28714,3.9978,1.36286,1.30592
8/28/2023,SFE-M-1S,TM,n,1.29354,3.7122,1.3474,1.30785
8/28/2023,SFE-M-2,TM,n,1.2952,3.6441,1.35874,1.32852
8/28/2023,SFE-M-3,TM,n,1.28902,3.80894,1.36605,1.30496
9/4/2023,SFE-SH-1S,TM,n,1.2956,5.2821,1.35323,1.30691
9/4/2023,SFE-M-1S,TM,y,1.29024,5.54323,1.32505,1.29847
9/4/2023,SFE-M-1S,TM,y,1.29442,5.46811,1.31432,1.29923
9/4/2023,SFE-M-1S,TM,y,1.28939,4.85075,1.3459,1.30357
9/4/2023,SFE-M-2,TM,n,1.29805,3.55346,1.35731,1.33134
9/4/2023,SFE-M-3,TM,n,1.28729,4.29375,1.3157,1.29491
9/4/2023,SFE-M-4,TM,n,1.2917,3.78244,1.29467,1.29367
9/12/2023,SFE-SH-1S,TM,n,1.2915,4.65523,1.41811,1.32071
9/12/2023,SFE-M-1S,TM,n,1.28709,4.0979,1.35127,1.3026
9/12/2023,SFE-M-2,TM,y,1.29317,3.862,1.40225,1.33939
9/12/2023,SFE-M-2,TM,y,1.29786,3.86283,1.39905,1.33457
9/12/2023,SFE-M-2,TM,y,1.29075,3.83302,1.4394,1.34634
9/12/2023,SFE-M-3,TM,n,1.28708,4.0973,1.37187,1.3101
9/12/2023,SFE-M-4,TM,n,1.29178,3.0472,1.38978,1.34513
9/18/2023,SFE-SH-1S,TM,n,1.28701,5.98715,1.35097,1.30023
9/18/2023,SFE-M-1S,TM,n,1.28461,3.74774,1.31637,1.29241
9/18/2023,SFE-M-2,TM,n,1.29223,5.96879,1.36128,1.32351
9/18/2023,SFE-M-3,TM,n,1.29301,3.68275,1.35237,1.30844
9/18/2023,SFE-M-4,TM,y,1.29453,4.03786,1.40981,1.35873
9/18/2023,SFE-M-4,TM,y,1.29543,2.35413,1.3147,1.30377
9/18/2023,SFE-M-4,TM,y,1.29751,3.718,1.36962,1.33428
9/24/2023,SFE-SH-1S,TM,n,1.29253,4.1656,1.34701,1.30274
9/24/2023,SFE-M-1S,TM,n,1.2955,4.17908,1.34716,1.30652
9/24/2023,SFE-M-2,TM,y,1.29449,4.1833,1.34287,1.31446
9/24/2023,SFE-M-2,TM,y,1.30175,4.12131,1.37745,1.3353
9/24/2023,SFE-M-2,TM,y,1.30501,4.1831,1.36487,1.32985
9/24/2023,SFE-M-3,TM,n,1.29337,4.12517,1.35155,1.3075
9/24/2023,SFE-M-4,TM,n,1.29885,4.12713,1.39751,1.3378
