field_date,time,site_reach,pressure_mmHg,pH,temp_C,DO_mg_L,cond_uS_cm
6/20/2023,9:40,SFE-M-1S,760.9,8.11,19,9.09,215
6/20/2023,12:05,SFE-M-2,760.2,8.09,19.7,9.71,214
6/20/2023,13:50,SFE-M-3,795.7,8.19,21.1,9.82,214
6/20/2023,15:40,SFE-M-4,759,8.36,22,10.75,214
6/25/2023,8:10,SFE-SH-1S,745.1,7.87,17.2,8.74,185.9
6/25/2023,10:55,SFE-M-1S,757.9,8.33,21.1,8.45,218
6/25/2023,13:25,SFE-M-2,756.5,8.16,22.3,8.56,218
6/25/2023,16:35,SFE-M-3,756.4,8.32,22.7,9.5,218
6/25/2023,15:10,SFE-M-4,756.2,8.34,23.5,9.65,218
6/28/2023,8:25,SAL-1S,748.3,7.81,16.1,9.22,82.7
6/28/2023,11:35,SAL-2,746,7.82,16.8,9.07,82.6
6/28/2023,13:50,SAL-3,744,8.12,17.4,9.02,83.1
7/3/2023,8:10,SFE-SH-1S,741.1,7.84,21.5,7.51,193.7
7/3/2023,12:05,SFE-M-1S,752.1,8.4,25.8,8.26,222
7/3/2023,13:55,SFE-M-2,751,8.16,26.5,7.98,222
7/3/2023,15:20,SFE-M-3,750.4,8.39,27.5,8.65,221
7/3/2023,17:10,SFE-M-4,750.5,8.27,29.2,8.96,221
7/10/2023,9:30,SFE-M-1S,757.3,8.19,21.7,8.15,225
7/10/2023,11:40,SFE-M-2,756.5,8.13,22.2,8.12,225
7/10/2023,13:40,SFE-M-3,755.9,8.21,23.6,8.4,224
7/10/2023,15:15,SFE-M-4,755.4,8.49,25,9.33,223
7/11/2023,9:15,SFE-SH-1S,743.6,7.99,20.2,8.44,199.8
7/13/2023,7:15,SAL-1S,751.2,7.81,18.7,9.12,100.1
7/13/2023,10:45,SAL-2,749.5,7.93,19.3,8.99,99.3
7/13/2023,13:20,SAL-3,746.8,8.01,19.9,9.01,99.2
7/17/2023,8:10,SFE-SH-1S,742.4,7.97,22.2,7.63,200
7/17/2023,11:25,SFE-M-1S,755.1,8.5,23.5,9.08,220
7/17/2023,13:50,SFE-M-2,754.5,8.25,24.1,8.21,222
7/17/2023,15:30,SFE-M-3,754.5,8.45,25,9.31,219
7/17/2023,17:05,SFE-M-4,754,8.54,26.2,9.74,218
7/24/2023,8:15,SFE-SH-1S,745,8.04,21.8,7.83,206
7/24/2023,11:05,SFE-M-1S,758,8.66,23.4,10.76,206
7/24/2023,13:05,SFE-M-2,757.8,8.3,24,8.01,213
7/24/2023,14:45,SFE-M-3,757.7,8.63,24.5,9.95,209
7/24/2023,16:45,SFE-M-4,757.4,8.68,26.4,11.14,206
7/27/2023,7:35,SAL-1S,749.5,7.82,20.3,8.61,109.5
7/27/2023,10:30,SAL-2,748.1,7.95,20.6,8.45,108.9
7/27/2023,13:00,SAL-3,746,7.94,21.6,7.99,109.5
