"","date","GPP_mean","GPP_se_mean","GPP_sd","GPP_2.5pct","GPP_25pct","GPP_50pct","GPP_75pct","GPP_97.5pct","GPP_n_eff","GPP_Rhat","ER_mean","ER_se_mean","ER_sd","ER_2.5pct","ER_25pct","ER_50pct","ER_75pct","ER_97.5pct","ER_n_eff","ER_Rhat","DO_R2_mean","DO_R2_se_mean","DO_R2_sd","DO_R2_2.5pct","DO_R2_25pct","DO_R2_50pct","DO_R2_75pct","DO_R2_97.5pct","DO_R2_n_eff","DO_R2_Rhat","GPP_daily_mean","GPP_daily_se_mean","GPP_daily_sd","GPP_daily_2.5pct","GPP_daily_25pct","GPP_daily_50pct","GPP_daily_75pct","GPP_daily_97.5pct","GPP_daily_n_eff","GPP_daily_Rhat","ER_daily_mean","ER_daily_se_mean","ER_daily_sd","ER_daily_2.5pct","ER_daily_25pct","ER_daily_50pct","ER_daily_75pct","ER_daily_97.5pct","ER_daily_n_eff","ER_daily_Rhat","K600_daily_mean","K600_daily_se_mean","K600_daily_sd","K600_daily_2.5pct","K600_daily_25pct","K600_daily_50pct","K600_daily_75pct","K600_daily_97.5pct","K600_daily_n_eff","K600_daily_Rhat","K600_daily_predlog_mean","K600_daily_predlog_se_mean","K600_daily_predlog_sd","K600_daily_predlog_2.5pct","K600_daily_predlog_25pct","K600_daily_predlog_50pct","K600_daily_predlog_75pct","K600_daily_predlog_97.5pct","K600_daily_predlog_n_eff","K600_daily_predlog_Rhat","valid_day","warnings","errors"
"1",2022-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","data don't start when expected"
"2",2022-06-27,8.37609106982624,0.0634815074570745,1.06257746017086,6.31661703995672,7.64634854619476,8.4028088463427,9.07899354500312,10.4815314681002,280.1732940338,1.01043640745077,13.487787649294,0.111320318977747,1.61820724566058,10.4373592771961,12.3861243526927,13.4961724988856,14.5576927327168,16.70386203618,211.309683083025,1.02453374282774,0.99961841638992,5.92260921983479e-05,0.000127906296891547,0.999381114983549,0.999518201819797,0.999617966995191,0.999735911975242,0.999806781479997,4.66399089955434,2.37820420763976,8.37609106981932,0.0634815074570224,1.06257746016999,6.3166170399515,7.64634854618843,8.40280884633576,9.07899354499561,10.4815314680915,280.173294033796,1.01043640745077,13.487787649294,0.111320318977746,1.61820724566058,10.4373592771962,12.3861243526927,13.4961724988855,14.5576927327168,16.70386203618,211.309683083027,1.02453374282774,34.5500166497096,0.226747737027439,2.29468910842172,30.1602823097429,33.0035705208928,34.4376078127276,36.0458687429674,39.3126364474586,102.414579390666,1.03944962649086,3.53987127801728,0.00654552979386738,0.0657083268165336,3.40684974159154,3.49758477141379,3.53868824218849,3.58452610298431,3.66976632746385,100.774629249236,1.0394258792005,TRUE,"",""
"3",2022-06-28,7.53698447227039,0.0609553479484384,1.07882271369219,5.46033136092341,6.77276104843066,7.52074823726247,8.25848544647239,9.73792952472946,313.239508469453,1.02123285918678,12.9780587840498,0.116887056976943,1.60501799929167,9.97686777787719,11.8907934781455,12.9361877901666,14.0199451444867,16.2787576920131,188.550186503517,1.03426993619396,0.999594515925647,6.42941863073839e-05,0.000134933908100353,0.99934052262695,0.999490131346294,0.999595534886295,0.999716473582836,0.999793904970001,4.40452205884446,2.38875886375908,7.53698447226416,0.0609553479483882,1.0788227136913,5.46033136091889,6.77276104842507,7.52074823725626,8.25848544646556,9.73792952472141,313.239508469451,1.02123285918678,12.9780587840498,0.116887056976943,1.60501799929167,9.97686777787716,11.8907934781455,12.9361877901667,14.0199451444867,16.2787576920131,188.550186503517,1.03426993619396,32.9137612506061,0.205333434363961,2.07991987721545,28.9162747457304,31.5128632881723,32.8261299923702,34.3313497102051,37.1232361117643,102.606262508938,1.03726842320555,3.49171406517277,0.00627560941889155,0.0625044781911166,3.36601617234678,3.4513054606731,3.49023376083472,3.5337184253645,3.6144862058921,99.1997220890879,1.04048657082261,TRUE,"",""
"4",2022-06-29,7.28138568871118,0.0498875658998117,1.03737923764737,5.2495835177507,6.60167831055793,7.30363553879042,7.95381063071727,9.28422348380788,432.404768236787,1.00885858226713,12.2020760219721,0.0938519053948551,1.62388658805917,9.05013059718566,11.0839260996516,12.1940876933502,13.3125801069557,15.4046779903521,299.381666484497,1.009919637209,0.99969196122754,4.91165793736811e-05,0.000104411768082948,0.999490387572289,0.999611276035679,0.999691998080763,0.999787823823585,0.999847080103944,4.51900345004428,2.41082685140665,7.28138568870516,0.0498875658997701,1.03737923764652,5.24958351774637,6.60167831055247,7.30363553878439,7.9538106307107,9.28422348380021,432.404768236792,1.00885858226713,12.2020760219721,0.0938519053948551,1.62388658805917,9.05013059718563,11.0839260996516,12.1940876933502,13.3125801069557,15.404677990352,299.381666484497,1.009919637209,31.4146511995553,0.19118600053343,1.93861312407583,27.6510113595425,30.1187408438769,31.2909657198878,32.7368493482145,35.3421036672132,102.818229377871,1.03973138549124,3.44452132538255,0.006030352414262,0.0594784021279011,3.32442598035584,3.40537609853225,3.44311290611697,3.48520015720591,3.5604683321558,97.282158778984,1.04197344572649,TRUE,"",""
"5",2022-06-30,7.03763123126301,0.0643318303323552,1.0339556058659,4.99779290216778,6.34684380528073,6.996454472296,7.71782013039347,9.05901519266907,258.316393517169,1.0133367958554,11.4794303055712,0.0847113898758292,1.49143298815095,8.59916124258876,10.4456498233695,11.4284453425037,12.5419425642914,14.3084570276952,309.973005925015,1.01016575096265,0.999687637107768,4.90282149503128e-05,0.000105972481426947,0.999489040962708,0.999601302643349,0.999689095848828,0.999785259210156,0.999843871691239,4.6719054467778,2.34091195695776,7.03763123125719,0.0643318303323018,1.03395560586504,4.99779290216365,6.34684380527548,6.99645447229022,7.7178201303871,9.05901519266158,258.316393517171,1.0133367958554,11.4794303055712,0.0847113898758292,1.49143298815095,8.59916124258875,10.4456498233695,11.4284453425036,12.5419425642914,14.3084570276952,309.973005925014,1.01016575096265,30.1691097541986,0.177357456630629,1.76411406290633,26.8123800699195,28.9589397217258,30.0991907686051,31.3825096684883,33.6328423732408,98.936016366934,1.0432259135999,3.40414502091818,0.00583745912524418,0.0569923272418692,3.2888222238973,3.36672541961006,3.4025279327554,3.4436072845139,3.51409563533644,95.3202291487541,1.04368156080025,TRUE,"",""
"6",2022-07-01,7.06129435634768,0.0562842249710938,1.02566678333009,5.12942472835835,6.36513338045502,7.05137228974628,7.74636924603984,9.15326850879885,332.077309191503,1.01318237542902,10.840224849113,0.0681213287128965,1.49828873363414,7.81008542564449,9.83756678959856,10.8379322417547,11.8040067775101,13.839790118495,483.754265085687,1.00165220643818,0.999699919458947,4.58359231125243e-05,9.88052058680151e-05,0.999518358458081,0.999619925931702,0.999701686172552,0.999789374433742,0.99984919176515,4.64673269524605,2.42496997472339,7.06129435634184,0.0562842249710474,1.02566678332924,5.12942472835411,6.36513338044976,7.05137228974045,7.74636924603343,9.15326850879129,332.077309191502,1.01318237542902,10.840224849113,0.0681213287128966,1.49828873363414,7.81008542564446,9.83756678959858,10.8379322417546,11.8040067775101,13.8397901184949,483.754265085686,1.00165220643818,29.1303361351576,0.165740611769144,1.65590647767049,25.9452748565151,27.9892453549344,29.058548886751,30.3031380340053,32.3187000399709,99.8191195797788,1.04061591378789,3.36963790063335,0.0056884792241019,0.0549531707965036,3.26070831753146,3.33275008075212,3.36720421352081,3.40810192281539,3.47555795565945,93.3239602457696,1.04552404502542,TRUE,"",""
"7",2022-07-02,6.50520234349192,0.0544094648547685,0.950521101982197,4.63467137279563,5.8858476756328,6.50655606348122,7.13609710727422,8.3438722982318,305.193034119073,1.00701772385021,10.9725504817189,0.0787361730515467,1.39857937975143,8.21735777090718,10.0478872037014,10.9773972924994,11.9134691712746,13.7366098670063,315.519087498281,1.00767662011586,0.999640907436182,5.62230187116264e-05,0.000121887740543908,0.99940612374992,0.999544579878924,0.999642034688818,0.999752464129963,0.999820484866351,4.69993371762695,2.3350409806319,6.50520234348654,0.0544094648547236,0.950521101981411,4.63467137279179,5.88584767562793,6.50655606347584,7.13609710726832,8.3438722982249,305.193034119072,1.00701772385021,10.9725504817189,0.0787361730515465,1.39857937975143,8.21735777090714,10.0478872037014,10.9773972924994,11.9134691712745,13.7366098670064,315.519087498283,1.00767662011586,28.1646251808561,0.158943593837439,1.56631825726873,25.232751225929,27.0794135030511,28.08488872746,29.2453541046748,31.2973969124772,97.1122381155439,1.04462530502629,3.33747541228181,0.00556765184587799,0.0531320189000099,3.23268580158126,3.30114662387248,3.33515574764725,3.37416029094163,3.43910159617345,91.0685656225734,1.04761039023085,TRUE,"",""
"8",2022-07-03,6.15574044396728,0.0404292894681106,0.917263190107254,4.34648650380695,5.52632690675324,6.14292992871803,6.77675455129848,7.91010276469078,514.749239312789,1.00834686570002,10.992508528997,0.0766311917520536,1.45035023380222,8.10599733932982,9.97968238650251,11.0152249836518,12.0270064820762,13.7725503381754,358.207454289075,1.01082106054918,0.999726581633646,4.21066022909404e-05,9.16824386247843e-05,0.999554721233423,0.999653617484128,0.999728217025964,0.999807069892856,0.999863841788642,4.74102140620935,2.38262573655062,6.15574044396219,0.0404292894680774,0.917263190106496,4.34648650380336,5.52632690674868,6.14292992871295,6.77675455129288,7.91010276468424,514.749239312785,1.00834686570002,10.992508528997,0.0766311917520533,1.45035023380222,8.10599733932984,9.97968238650248,11.0152249836518,12.0270064820762,13.7725503381754,358.207454289078,1.01082106054918,27.6217294087607,0.152962171191625,1.507089957095,24.7760473467731,26.5556167111361,27.5585348254296,28.6494892337021,30.5810903837276,97.0756422809898,1.04618157703653,3.31774254981034,0.00550177017240986,0.0520562030185998,3.21524641344656,3.28165833371439,3.31571558248192,3.35353822600875,3.41708414584859,89.5241252128182,1.04908763963839,TRUE,"",""
"9",2022-07-04,6.66051239100999,0.0474326615213065,0.935876835523226,4.7836362066927,6.0509373421089,6.68188293549175,7.28486067089006,8.41179204538278,389.298210387131,1.00710998207627,12.1824538846051,0.0870113530067868,1.54047137721581,8.99556984116827,11.1649190169468,12.2156191004001,13.2505429363074,15.1438098538869,313.440724738814,1.01268364329627,0.999779888024563,3.36545965514151e-05,7.35908099872207e-05,0.999634763525359,0.999724027357181,0.999780260708487,0.999847360776407,0.999890391897874,4.78143646017346,2.40561517384671,6.66051239100449,0.0474326615212672,0.935876835522452,4.78363620668875,6.0509373421039,6.68188293548623,7.28486067088404,8.41179204537583,389.298210387132,1.00710998207627,12.1824538846051,0.0870113530067867,1.54047137721581,8.99556984116833,11.1649190169467,12.2156191004001,13.2505429363075,15.1438098538868,313.440724738814,1.01268364329627,30.2131090417161,0.178099478036989,1.77771047515255,26.8523640045732,29.0301734647328,30.1178681896586,31.4273778373919,33.8648689721909,99.6315231257269,1.04212925338385,3.40529005564603,0.00584269885602412,0.0570613990978371,3.28982990447403,3.36784151882414,3.40368720994091,3.444760247951,3.51542897518588,95.380111755868,1.0436268137741,TRUE,"",""
"10",2022-07-05,5.79066434189969,0.0651332376280422,0.982486290208249,3.91379303322466,5.11397844556564,5.77192965912005,6.4763351299656,7.75722840698196,227.534714097524,1.02536351185921,13.3895402682302,0.100382980882277,1.57438527042609,10.3261679837449,12.3196586726978,13.4347489056843,14.4832663356929,16.3678762646582,245.981168362851,1.01712956556292,0.99964038463474,5.48452627381162e-05,0.000120943394687014,0.99941052283632,0.999545769582593,0.999641927033709,0.999750561247339,0.999819477931699,4.86279617176634,2.28483826458747,5.7906643418949,0.0651332376279885,0.982486290207437,3.91379303322142,5.11397844556141,5.77192965911528,6.47633512996024,7.75722840697554,227.534714097522,1.02536351185921,13.3895402682302,0.100382980882277,1.57438527042609,10.3261679837448,12.3196586726978,13.4347489056843,14.4832663356929,16.3678762646583,245.981168362851,1.01712956556292,32.5965400538914,0.204062689487366,2.04318742061686,28.7002188735455,31.2700387421983,32.4943607697365,33.975608615695,36.7574428800001,100.25111226264,1.03943420576954,3.47986688523276,0.00621215664768026,0.0617335757286204,3.35556804303808,3.43969536808208,3.47829648661606,3.52107444536783,3.60081158539433,98.7547670182686,1.04081408304875,TRUE,"",""
