"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
2023-06-18,NA,NA,NA,NA,NA,NA
2023-06-19,4.57898690959439,1.52147777487952,6,7,0.464203708534138,0.535796291465862
2023-06-20,4.64595330249536,1.53599658317746,6,7,0.440005694704229,0.559994305295771
2023-06-21,4.56531829195381,1.51848823603115,6,7,0.469186273281415,0.530813726718585
2023-06-22,4.48492911985903,1.50072269156403,6,7,0.498795514059945,0.501204485940055
2023-06-23,4.41373430567356,1.48472111247358,6,7,0.525464812544036,0.474535187455964
2023-06-24,4.29901379448693,1.45838564627544,6,7,0.569357256207606,0.430642743792394
2023-06-25,4.1687440015419,1.42761479177027,6,7,0.620642013716213,0.379357986283787
2023-06-26,3.99880817521004,1.38599636052463,6,7,0.690006065792276,0.309993934207724
2023-06-27,3.84209845731458,1.34601869059651,6,7,0.756635515672492,0.243364484327508
2023-06-28,3.68871985037289,1.30527947384219,6,7,0.824534210263018,0.175465789736982
2023-06-29,3.545678750118,1.26572960854466,6,7,0.890450652425571,0.109549347574429
2023-06-30,3.39511499339186,1.22233763183376,6,7,0.962770613610407,0.0372293863895934
2023-07-01,3.27949717187451,1.18769010938644,5,6,0.0246197812271172,0.975380218772883
2023-07-02,3.17328267094622,1.15476659496977,5,6,0.0904668100604669,0.909533189939533
2023-07-03,3.05290787548381,1.11609453821846,5,6,0.167810923563073,0.832189076436927
2023-07-04,2.93255766386607,1.07587496507461,5,6,0.248250069850777,0.751749930149223
2023-07-05,2.8342997242676,1.04179489582716,5,6,0.316410208345682,0.683589791654318
2023-07-06,2.74224920545014,1.00877846156549,5,6,0.382443076869016,0.617556923130984
2023-07-07,2.63934614839989,0.970531215422034,5,6,0.458937569155933,0.541062430844067
2023-07-08,2.53668892979641,0.930859659696435,5,6,0.53828068060713,0.46171931939287
2023-07-09,2.43856128457472,0.891408227931197,5,6,0.617183544137607,0.382816455862393
2023-07-10,2.36686864753454,0.861567835766242,5,6,0.676864328467515,0.323135671532485
2023-07-11,2.28700065294691,0.827241200544283,5,6,0.745517598911435,0.254482401088565
2023-07-12,2.20836676736209,0.792253223027121,5,6,0.815493553945759,0.184506446054241
2023-07-13,2.13426122596683,0.75812055680628,5,6,0.88375888638744,0.11624111361256
2023-07-14,2.06190113754366,0.723628439510194,5,6,0.952743120979612,0.0472568790203884
2023-07-15,1.97934612873281,0.682766552152131,4,5,0.0344668956957375,0.965533104304263
2023-07-16,1.92734883885585,0.65614539995898,4,5,0.0877092000820403,0.91229079991796
2023-07-17,1.89708981363479,0.640321034921638,4,5,0.119357930156723,0.880642069843277
2023-07-18,1.86319975455489,0.622295307854889,4,5,0.155409384290222,0.844590615709778
2023-07-19,1.83148167815224,0.605125299447813,4,5,0.189749401104374,0.810250598895626
2023-07-20,1.80070762138519,0.588179710641294,4,5,0.223640578717411,0.776359421282589
2023-07-21,1.76577397809874,0.568589108769412,4,5,0.262821782461176,0.737178217538824
2023-07-22,1.72376387512194,0.544510199474812,4,5,0.310979601050376,0.689020398949624
2023-07-23,1.67760278997136,0.51736586367725,4,5,0.365268272645501,0.634731727354499
2023-07-24,1.63030224362,0.488765423163224,4,5,0.422469153673552,0.577530846326448
2023-07-25,1.57961650185657,0.457182097233584,4,5,0.485635805532832,0.514364194467168
2023-07-26,1.55006917893892,0.438299561508694,4,5,0.523400876982612,0.476599123017388
2023-07-27,1.51768856792221,0.417188498453822,4,5,0.565623003092356,0.434376996907644
2023-07-28,1.47817741275685,0.39080985101706,4,5,0.61838029796588,0.38161970203412
2023-07-29,1.43395107618238,0.360433624567804,4,5,0.679132750864392,0.320867249135608
2023-07-30,1.39302757914031,0.33147949297951,4,5,0.73704101404098,0.26295898595902
2023-07-31,1.35069296941376,0.300617771428341,4,5,0.798764457143319,0.201235542856681
2023-08-01,1.30244717423456,0.264244936613366,4,5,0.871510126773269,0.128489873226731
2023-08-02,1.19155928443312,0.175262772452408,3,4,0.0494744550951849,0.950525544904815
2023-08-03,1.15579470719658,0.144788165549107,3,4,0.110423668901786,0.889576331098214
2023-08-04,1.13611779791686,0.12761701027232,3,4,0.14476597945536,0.85523402054464
2023-08-05,1.11423817615406,0.108170921304325,3,4,0.18365815739135,0.81634184260865
2023-08-06,1.06227776204412,0.0604154348034083,3,4,0.279169130393183,0.720830869606817
2023-08-07,0.960205638943957,-0.0406078102260605,3,4,0.481215620452121,0.518784379547879
2023-08-08,0.950667107209163,-0.0505913227124199,3,4,0.50118264542484,0.49881735457516
2023-08-09,0.931688379118285,-0.0707568773755888,3,4,0.541513754751178,0.458486245248822
2023-08-10,0.905059158563831,-0.0997549688398242,3,4,0.599509937679648,0.400490062320352
2023-08-11,0.893789924163756,-0.112284515578598,3,4,0.624569031157197,0.375430968842803
2023-08-12,0.874998033292426,-0.133533640292848,3,4,0.667067280585695,0.332932719414305
2023-08-13,0.907193036281821,-0.097400022094304,3,4,0.594800044188608,0.405199955811392
2023-08-14,0.863748465968092,-0.146473679915621,3,4,0.692947359831242,0.307052640168758
2023-08-15,0.773968265206583,-0.256224407258062,3,4,0.912448814516123,0.0875511854838767
2023-08-16,0.76251219358696,-0.271136779038979,3,4,0.942273558077958,0.0577264419220425
2023-08-17,0.670391610812171,-0.399893243597556,2,3,0.199786487195111,0.800213512804889
2023-08-18,0.611744390949998,-0.491440745561221,2,3,0.382881491122443,0.617118508877557
2023-08-19,0.57076803864187,-0.560772388917271,2,3,0.521544777834541,0.478455222165459
2023-08-20,0.568457157242204,-0.564829329682865,2,3,0.529658659365731,0.470341340634269
2023-08-21,0.725813430252683,-0.320462280306189,2,3,0.0409245606123775,0.959075439387623
2023-08-22,0.941787422511721,-0.0599756959956431,3,4,0.519951391991286,0.480048608008714
2023-08-23,1.09839634664401,0.0938512493954544,3,4,0.212297501209091,0.787702498790909
2023-08-24,1.01016984486611,0.0101184799490842,3,4,0.379763040101832,0.620236959898168
2023-08-25,0.935248119827559,-0.0669434160979935,3,4,0.533886832195987,0.466113167804013
2023-08-26,0.850542024607445,-0.161881456717971,3,4,0.723762913435941,0.276237086564059
