"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
2022-06-29,NA,NA,NA,NA,NA,NA
2022-06-30,3.3982740174329,1.22326766079683,6,7,0.614960753784831,0.385039246215169
2022-07-01,3.33976446710091,1.20590028566998,6,7,0.653554920733383,0.346445079266617
2022-07-02,3.34035447937317,1.20607693290591,6,7,0.653162371320205,0.346837628679795
2022-07-03,3.38686711350263,1.2199053387886,6,7,0.622432580469769,0.377567419530231
2022-07-04,3.54204034110576,1.26470292865371,6,7,0.522882380769542,0.477117619230458
2022-07-05,3.82672126246893,1.34200836931725,6,7,0.351092512628338,0.648907487371662
2022-07-06,4.09075175430316,1.40872875617311,6,7,0.20282498628197,0.79717501371803
2022-07-07,4.08711334529091,1.4078389373248,6,7,0.204802361500454,0.795197638499546
2022-07-08,3.8466833443469,1.34721130802122,6,7,0.339530426619506,0.660469573380494
2022-07-09,3.60625334340288,1.28266937838729,6,7,0.482956936917128,0.517043063082872
2022-07-10,3.3663150193524,1.21381868002655,6,7,0.635958488829891,0.364041511170109
2022-07-11,3.17760942760943,1.15612916176053,6,7,0.764157418309923,0.235842581690077
2022-07-12,2.99116554957676,1.09566312735607,6,7,0.898526383653172,0.101473616346828
2022-07-13,NA,NA,NA,NA,NA,NA
2022-07-28,NA,NA,NA,NA,NA,NA
2022-07-29,1.47848225243085,0.391016056471592,4,5,0.464408763396461,0.535591236603539
2022-07-30,1.45308222411026,0.373686972188868,4,5,0.502917839580293,0.497082160419707
2022-07-31,1.41988420025803,0.350575319173797,4,5,0.554277068502674,0.445722931497326
2022-08-01,1.39098343245539,0.330011002342261,4,5,0.599975550350531,0.400024449649469
2022-08-02,1.39926327134271,0.335945863355902,4,5,0.586786970320217,0.413213029679783
2022-08-03,1.38604699644419,0.326455808161243,4,5,0.607875981863904,0.392124018136096
2022-08-04,1.3211161458825,0.278476944372037,4,5,0.714495679173252,0.285504320826748
2022-08-05,1.22200391768149,0.200492066702929,4,5,0.887795407326825,0.112204592673175
2022-08-06,1.16503823279524,0.152753904329164,4,5,0.993880212601859,0.00611978739814145
2022-08-07,1.14568583026527,0.136003436087859,3,4,0.0311034753603144,0.968896524639686
2022-08-08,1.16391720947796,0.151791220901636,4,5,0.996019509107475,0.00398049089252517
2022-08-09,1.17867734982221,0.164392919829398,4,5,0.968015733712449,0.0319842662875515
2022-08-10,1.18254193020548,0.16766629970285,4,5,0.960741556215888,0.0392584437841117
2022-08-11,1.1952173605211,0.178328060492648,4,5,0.937048754460781,0.0629512455392186
2022-08-12,1.19924911104818,0.18169562014329,4,5,0.929565288570468,0.0704347114295323
2022-08-13,1.19365382799962,0.177019046635181,4,5,0.939957674144043,0.0600423258559571
2022-08-14,1.15695506466535,0.145791609657286,3,4,0.0093519785393634,0.990648021460637
2022-08-15,1.11941061707417,0.112802312041693,3,4,0.0826615287962388,0.917338471203761
2022-08-16,1.0742550111709,0.07162740847093,3,4,0.174161314509045,0.825838685490955
2022-08-17,1.02366145882501,0.0233858653386986,3,4,0.281364743691781,0.718635256308219
2022-08-18,0.967767629566695,-0.0327632726231992,3,4,0.406140605829332,0.593859394170668
2022-08-19,0.915590877623588,-0.0881856542303493,3,4,0.529301453845221,0.470698546154779
2022-08-20,0.863482960445577,-0.146781114716246,3,4,0.659513588258324,0.340486411741676
2022-08-21,0.807490795808553,-0.213823622329789,3,4,0.808496938510642,0.191503061489358
