"field_date","site_reach","site","reach","sample_type","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","per_org_matter","ATX_all_ug_chla_ug","ATX_all_ug_afdm_g"
2023-09-04,"SFE-M-1S","SFE-M","1S","TAC",2.615,0.298,0,2.913,5366.35985128895,762.26579660674,0.447,0.0005428,6.5167785
2023-09-04,"SFE-M-2","SFE-M","2","TAC",0.013,0,0,0.013,1544.58503114521,41.8749137901605,0.14,8.4e-06,0.0928571
2023-09-12,"SFE-M-1S","SFE-M","S","TAC",0.027,0,0,0.027,3392.94145744772,192.950213877402,0.3,8e-06,0.09
2023-09-18,"SFE-SH-1S","SFE-SH","1S","TAC",6.064,1.159,0,7.223,5408.80346812355,893.553889686875,0.62,0.0013354,11.65
2023-09-18,"SFE-M-1S","SFE-M","1S","TAC",0,0,0,0,3411.62120500362,176.419128622379,0.31,0,0
2023-09-18,"SFE-M-3","SFE-M","3","TAC",0,0,0,0,1787.86892097088,150.514248476122,0.263,0,0
2023-09-24,"SFE-SH-1S","SFE-SH","1S","TAC",1.031,0.091,0,1.122,6669.77518775126,978.423510038727,0.67,0.0001682,1.6746269
2023-09-24,"SFE-M-1S","SFE-M","1S","TAC",0,0,0,0,3120.76779741245,170.879367154504,0.42,0,0
2022-06-29,"SFE-M-1S","SFE-M","1S","TM",0,0,0,0,6407.82431441923,143.752054584299,0.18,0,0
2022-07-14,"SFE-M-3","SFE-M","3","TAC",0.542,0.0693,0,0.6113,3517.8469892189,1162.42473948808,0.32,0.0001738,1.9103125
2022-07-20,"RUS-2","RUS","2","TAC",0,0,0,0,2984.96562184583,528.685154188619,0.37,0,0
2022-07-26,"SAL-1S","SAL","1S","TM",0,0,0.0683,0.0683,5046.58581450883,170.198376743096,0.6,1.35e-05,0.1138333
2022-07-28,"SFE-M-1S","SFE-M","1S","TAC",4.4737,0.61,0,5.0837,7154.80398129149,1436.09982656204,0.46,0.0007105,11.0515217
2022-07-28,"SFE-M-1S","SFE-M","1S","TM",0.4097,0,0,0.4097,3895.20636872598,440.031032087626,0.64,0.0001052,0.6401562
2022-07-28,"SFE-M-4","SFE-M","4","TAC",4.5993,0.782,0,5.3813,7736.04558314054,1349.27478259642,0.48,0.0006956,11.2110417
2022-08-23,"SFE-M-1S","SFE-M","1S","TM",0.7723,0.3283,0,1.1006,12128.8079464221,251.428293972445,0.74,9.07e-05,1.4872973
2022-09-01,"RUS-3","RUS","3","TAC",0.377,0.964,0,1.341,1842.94613041894,653.905526281404,0.25,0.0007276,5.364
2022-09-15,"RUS-3","RUS","3","TAC",0.292,0.1683,0,0.4603,1725.72259517701,641.846897710919,0.22,0.0002667,2.0922727
2022-09-17,"SFE-M-3","SFE-M","3","TM",0.3467,0.1333,0,0.48,9191.61981891121,467.429635388257,0.76,5.22e-05,0.6315789
2023-07-10,"SFE-M-3","SFE-M","3","TM",0,0,0,0,6902.44898455466,43.1778752591085,0.85,0,0
2023-07-13,"SAL-1S","SAL","1S","TM",0,0,0,0,1797.46468755555,75.2013476435363,0.241,0,0
