"site","site_reach","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown"
"SAL","SAL-1S","2022-07-12","TM",0,0,0,0,0,0,0,1.03092783505155,0,0,0,93.298969072165,0,5.15463917525773,0,0,0.515463917525773,0,0,0,0,0
"SAL","SAL-1S","2022-07-26","TM",0,0,0,0,0,3.125,0,5.20833333333333,0,0,0,76.0416666666667,0,12.5,0,0,3.125,0,0,0,0,0
"SAL","SAL-2","2022-07-12","TM",0,0,0,0,0,0,0,1.05263157894737,0,0,0,91.5789473684211,0,6.31578947368421,0,0,1.05263157894737,0,0,0,0,0
"SAL","SAL-2","2022-07-26","TM",0,0,0,0,0,0,0,3.33333333333333,0,0,0,77.7777777777778,0,16.6666666666667,0,0,2.22222222222222,0,0,0,0,0
"SAL","SAL-3","2022-07-26","TM",0,0,0,0,0,2.12765957446809,0,1.06382978723404,0,0,0,86.1702127659574,0,8.51063829787234,0,0,2.12765957446809,0,0,0,0,0
"SFE-M","SFE-M-1S","2022-06-29","TM",0,0,0,0,3.06122448979592,5.10204081632653,0,2.04081632653061,0,0,0,81.6326530612245,0,2.04081632653061,5.10204081632653,0,1.02040816326531,0,0,0,0,0
"SFE-M","SFE-M-1S","2022-07-14","TM",5.31914893617021,0,0,0.106382978723404,5.31914893617021,0,0,2.12765957446809,0,0,0,74.3617021276596,0,5.31914893617021,5.31914893617021,0,2.12765957446809,0,0,0,0,0
"SFE-M","SFE-M-1S","2022-07-28","TM",10.2040816326531,0,0,0,12.2448979591837,3.06122448979592,0,5.10204081632653,0,0,0,61.2244897959184,0,2.04081632653061,2.04081632653061,0,4.08163265306122,0,0,0,0,0
"SFE-M","SFE-M-1S","2022-08-10","TM",3.15789473684211,0,0,0,6.31578947368421,8.42105263157895,0,3.15789473684211,0,0.105263157894737,0,69.3684210526316,0,6.31578947368421,0,0,3.15789473684211,0,0,0,0,0
"SFE-M","SFE-M-1S","2022-08-23","TM",0,0,0,0,4.21052631578947,2.10526315789474,0,8.42105263157895,0,0,0,71.5789473684211,0,10.5263157894737,0,0,3.15789473684211,0,0,0,0,0
"SFE-M","SFE-M-1S","2022-09-06","TM",1.0989010989011,0,0,0,6.59340659340659,4.3956043956044,0,6.59340659340659,0,0.10989010989011,0,73.5164835164835,0,4.3956043956044,0,0,3.2967032967033,0,0,0,0,0
"SFE-M","SFE-M-1S","2022-09-17","TM",2.1978021978022,0,0,0,5.49450549450549,5.49450549450549,0,8.79120879120879,0,0,0,61.5384615384615,0,3.2967032967033,2.1978021978022,0,10.989010989011,0,0,0,0,0
"SFE-M","SFE-M-3","2022-06-29","TM",0,0,0,0,6.18556701030928,1.03092783505155,0,6.18556701030928,0,0,0,79.3814432989691,0,4.12371134020619,2.06185567010309,0,1.03092783505155,0,0,0,0,0
"SFE-M","SFE-M-3","2022-07-14","TM",8.60215053763441,0,0,0,5.37634408602151,0,0,4.3010752688172,0,0,0,66.6666666666667,0,10.752688172043,2.1505376344086,0,2.1505376344086,0,0,0,0,0
"SFE-M","SFE-M-3","2022-07-28","TM",5.10204081632653,0,0,0,12.2448979591837,1.02040816326531,0,10.2040816326531,0,0,0,55.1020408163265,0,8.16326530612245,2.04081632653061,0,3.06122448979592,0,0,3.06122448979592,0,0
"SFE-M","SFE-M-3","2022-08-10","TM",3.06122448979592,0,0,0,7.14285714285714,2.04081632653061,0,8.16326530612245,0,0,0,71.4285714285714,0,3.06122448979592,0,0,5.10204081632653,0,0,0,0,0
"SFE-M","SFE-M-3","2022-08-23","TM",0,0,0,0,5.26315789473684,1.05263157894737,0,5.26315789473684,0,0,0,84.2105263157895,0,3.15789473684211,0,0,1.05263157894737,0,0,0,0,0
"SFE-M","SFE-M-3","2022-09-06","TM",0,0,0,0,3.19148936170213,1.06382978723404,0,8.51063829787234,0,0,0,82.9787234042553,0,2.12765957446809,0,0,2.12765957446809,0,0,0,0,0
"SFE-M","SFE-M-3","2022-09-17","TM",0,0,0,0,5.68181818181818,3.40909090909091,0,4.54545454545455,0,0,0,78.4090909090909,0,5.68181818181818,0,0,2.27272727272727,0,0,0,0,0
"SFE-M","SFE-M-4","2022-06-29","TM",0,0,0,0,5.10204081632653,0,0,5.10204081632653,0,0,0,55.1020408163265,0,11.2244897959184,20.4081632653061,0,3.06122448979592,0,0,0,0,0
"SFE-M","SFE-M-4","2022-08-10","TM",10.6382978723404,0,0,0,26.5957446808511,5.31914893617021,0,7.4468085106383,0,5.31914893617021,0.106382978723404,35.9574468085106,0,4.25531914893617,1.06382978723404,0.106382978723404,3.19148936170213,0,0,0,0,0
"SFE-M","SFE-M-4","2022-08-23","TM",1.06382978723404,0,0,0.106382978723404,8.51063829787234,2.12765957446809,0,12.7659574468085,0,0,0,62.6595744680851,0,4.25531914893617,0,3.19148936170213,5.31914893617021,0,0,0,0,0
"SAL","SAL-1S","2023-08-10","TM",0,0,0,0,0.117647058823529,0,0,0,0,0,0,94,0,4.70588235294118,0,0,1.17647058823529,0,0,0,0,0
"SAL","SAL-2","2023-08-10","TM",0,0,0,0,0,0,0,1.11111111111111,0,0,0,92.2222222222222,0,4.44444444444444,0,0,2.22222222222222,0,0,0,0,0
"SAL","SAL-3","2023-08-10","TM",0,0,0,0,2.10526315789474,0,0,15.7894736842105,0,0,0,77.8947368421053,0,3.15789473684211,0,0,1.05263157894737,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-14","TM",1.03092783505155,0,0,0,2.06185567010309,0,0,10.3092783505155,0,0,0,78.2474226804124,0,3.09278350515464,0,0.103092783505155,5.15463917525773,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-22","TM",0,0,0,0,2.10526315789474,0,0,15.7894736842105,0,0,0,77.8947368421053,0,1.05263157894737,0,0,3.15789473684211,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-28","TM",0,0,0,0,0,1.03092783505155,0,5.15463917525773,0,0,0,89.6907216494845,0,2.06185567010309,0,0,2.06185567010309,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-04","TM",0.108695652173913,0,0,0,1.08695652173913,0,0,6.52173913043478,0,0,0,84.6739130434783,0,5.43478260869565,0,0,2.17391304347826,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-12","TM",0.105263157894737,0,0,0,2.10526315789474,0,10.5263157894737,18.9473684210526,0,0,0,63.0526315789474,0,3.15789473684211,0,0,2.10526315789474,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-18","TM",0.105263157894737,0,0,0,6.31578947368421,0.105263157894737,0,15.7894736842105,0,0,0,68.2105263157895,0,4.21052631578947,0,0,5.26315789473684,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-24","TM",0.117647058823529,0,0,0,8.23529411764706,0,0,10.5882352941176,0,0,0,75.1764705882353,0,3.52941176470588,0,0,2.35294117647059,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-14","TM",0.105263157894737,0,0,0,2.10526315789474,0,0,10.5263157894737,0,0,0,70.4210526315789,0,15.7894736842105,0,0,1.05263157894737,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-22","TM",4.21052631578947,0,0,0,2.10526315789474,1.05263157894737,0,2.10526315789474,0,0,0,84.2105263157895,0,3.15789473684211,0,0,3.15789473684211,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-28","TM",0,0,0,0,1.03092783505155,0,0,2.06185567010309,0,0,0,94.8453608247423,0,1.03092783505155,0,0,1.03092783505155,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-04","TM",0,0,0,0,0,0,0,1.05263157894737,0,0,0,94.7368421052632,0,3.15789473684211,0,0,1.05263157894737,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-12","TM",0.105263157894737,0,0,0,1.05263157894737,0.105263157894737,0,7.36842105263158,0,0,0,88.2105263157895,0,2.10526315789474,0,0,1.05263157894737,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-18","TM",0,0,0,0,1.17647058823529,0,0,3.52941176470588,0,0,0,90.5882352941177,0,2.35294117647059,0,0,2.35294117647059,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-24","TM",0.10752688172043,0,0,0,0.10752688172043,0,0,5.37634408602151,0,0,0,84.6236559139785,0,8.60215053763441,0,0,1.0752688172043,0,0,0,0,0.10752688172043
"SFE-M","SFE-M-3","2023-08-14","TM",0.105263157894737,0,0,0,10.5263157894737,0,0,8.42105263157895,0,0,0,77.7894736842105,0,2.10526315789474,0,0,1.05263157894737,0,0,0,0,0
